ad_archive_id,page_id,page_name,ad_creation_time,ad_delivery_start_time,ad_delivery_stop_time,byline,ad_creative_bodies,ad_creative_link_titles,ad_creative_link_captions,ad_creative_link_descriptions,impressions,spend,currency,demographic_distribution,delivery_by_region,publisher_platforms,estimated_audience_size,languages
1207956573884462,869130149932954,"משרד הפנים - Ministry of Interior",2025-05-05,2025-05-05,2025-05-07,"משרד הפנים - Ministry of Interior","תושבי תל מונד – זה הזמן שלכם!
הקלפיות ביישובכם כבר פתוחות והבחירות לרשות המקומית -  יצאו לדרך.

צאו להצביע ולהשפיע! 🗳

לאיתור מקום הקלפי ולפרטים נוספים - היכנסו לאתר משרד הפנים >> לחצו כאן!",www.gov.il,gov.il,,"lower_bound: 150000, upper_bound: 174999","lower_bound: 500, upper_bound: 599",ILS,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.217488},{""age"":""45-54"",""gender"":""male"",""percentage"":0.04589},{""age"":""65+"",""gender"":""male"",""percentage"":0.013562},{""age"":""65+"",""gender"":""female"",""percentage"":0.01623},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000349},{""age"":""55-64"",""gender"":""male"",""percentage"":0.022488},{""age"":""55-64"",""gender"":""female"",""percentage"":0.02137},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000966},{""age"":""45-54"",""gender"":""female"",""percentage"":0.038953},{""age"":""18-24"",""gender"":""male"",""percentage"":0.137492},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001912},{""age"":""35-44"",""gender"":""male"",""percentage"":0.095903},{""age"":""35-44"",""gender"":""female"",""percentage"":0.059707},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001626},{""age"":""25-34"",""gender"":""male"",""percentage"":0.180778},{""age"":""25-34"",""gender"":""female"",""percentage"":0.142695},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.002319},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000273}","{""region"":""Central District"",""percentage"":0.823622},{""region"":""Heifa"",""percentage"":0.007211},{""region"":""Tel Aviv"",""percentage"":0.143614},{""region"":""Unknown"",""percentage"":1.2e-5},{""region"":""West Bank"",""percentage"":0.02554}","facebook,instagram","lower_bound: 1000001",he
997071079262774,869130149932954,"משרד הפנים - Ministry of Interior",2025-05-05,2025-05-05,2025-05-07,"משרד הפנים - Ministry of Interior","תושבי תל מונד - עדיין לא יודעים איפה מצביעים?!
היכנסו לאתר משרד הפנים, הזינו את מספר תעודת הזהות ותאריך ההנפקה, ומצאו את הקלפי שלכם בקלות ובמהירות!

לכל מיקומי הקלפיות ואיתר הקלפי שלכם >> לחצו כאן!","רוצה לדעת איפה הקלפי?",gov.il,,"lower_bound: 90000, upper_bound: 99999","lower_bound: 200, upper_bound: 299",ILS,"{""age"":""18-24"",""gender"":""male"",""percentage"":0.319119},{""age"":""25-34"",""gender"":""male"",""percentage"":0.358987},{""age"":""35-44"",""gender"":""male"",""percentage"":0.176016},{""age"":""45-54"",""gender"":""male"",""percentage"":0.085427},{""age"":""55-64"",""gender"":""male"",""percentage"":0.03854},{""age"":""65+"",""gender"":""male"",""percentage"":0.02191}","{""region"":""Central District"",""percentage"":0.808649},{""region"":""Heifa"",""percentage"":0.008353},{""region"":""Tel Aviv"",""percentage"":0.153849},{""region"":""Unknown"",""percentage"":3.3e-5},{""region"":""West Bank"",""percentage"":0.029117}","facebook,instagram","lower_bound: 500001, upper_bound: 1000000",he
633559639734840,869130149932954,"משרד הפנים - Ministry of Interior",2025-05-05,2025-05-05,2025-05-07,"משרד הפנים - Ministry of Interior","תושבות תל מונד - עדיין לא יודעות איפה אתן מצביעות?!
היכנסו לאתר משרד הפנים, הזינו את מספר תעודת הזהות ותאריך ההנפקה, ומצאו את הקלפי שלכם בקלות ובמהירות!

לכל מיקומי הקלפיות ואיתר הקלפי שלכם >> לחצו כאן!","רוצה לדעת איפה הקלפי?",gov.il,,"lower_bound: 70000, upper_bound: 79999","lower_bound: 200, upper_bound: 299",ILS,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.484805},{""age"":""25-34"",""gender"":""female"",""percentage"":0.283817},{""age"":""35-44"",""gender"":""female"",""percentage"":0.111948},{""age"":""45-54"",""gender"":""female"",""percentage"":0.064411},{""age"":""55-64"",""gender"":""female"",""percentage"":0.031277},{""age"":""65+"",""gender"":""female"",""percentage"":0.023741}","{""region"":""Central District"",""percentage"":0.827738},{""region"":""Heifa"",""percentage"":0.007165},{""region"":""Tel Aviv"",""percentage"":0.140822},{""region"":""West Bank"",""percentage"":0.024275}","facebook,instagram","lower_bound: 500001, upper_bound: 1000000",he
2071502946678550,869130149932954,"משרד הפנים - Ministry of Interior",2025-05-04,2025-05-04,2025-05-07,"משרד הפנים - Ministry of Interior","תושבות ותושבי תל מונד יוצאים להצביע ולהשפיע 🗳
ביום שלישי, ח' באייר התשפ""ה, 6.5.2025, יתקיימו בחירות למועצה המקומית תל מונד.
הקלפיות יפעלו בין השעות 7:00 - 22:00.
שימו לב - יום זה אינו יום שבתון ☝🏼

רוצים לדעת איפה הקלפי בו תצביעו? לא בטוחים מי המועמדים? לכל הפרטים על היום הבחירות במועצה המקומית תל מונד, היכנסו לאתר משרד הפנים >> https://www.gov.il/he/pages/election-2024-23-telmund",www.gov.il,gov.il,,"lower_bound: 175000, upper_bound: 199999","lower_bound: 500, upper_bound: 599",ILS,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.219664},{""age"":""45-54"",""gender"":""male"",""percentage"":0.049082},{""age"":""65+"",""gender"":""male"",""percentage"":0.013608},{""age"":""65+"",""gender"":""female"",""percentage"":0.014965},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000386},{""age"":""55-64"",""gender"":""male"",""percentage"":0.023726},{""age"":""55-64"",""gender"":""female"",""percentage"":0.019297},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000869},{""age"":""45-54"",""gender"":""female"",""percentage"":0.035324},{""age"":""18-24"",""gender"":""male"",""percentage"":0.157885},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.00171},{""age"":""35-44"",""gender"":""male"",""percentage"":0.096133},{""age"":""35-44"",""gender"":""female"",""percentage"":0.054916},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001587},{""age"":""25-34"",""gender"":""male"",""percentage"":0.178163},{""age"":""25-34"",""gender"":""female"",""percentage"":0.129987},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.002418},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000279}","{""region"":""Central District"",""percentage"":0.82701},{""region"":""Heifa"",""percentage"":0.007778},{""region"":""Tel Aviv"",""percentage"":0.134234},{""region"":""West Bank"",""percentage"":0.030979}","facebook,instagram","lower_bound: 1000001",he
639983148891752,869130149932954,"משרד הפנים - Ministry of Interior",2025-04-01,2025-04-02,2025-04-04,"משרד הפנים - Ministry of Interior","צפו בנאומו של שר הפנים, ח""כ משה ארבל, בוועידת התאגידים העירוניים, במסגרת השקת רפורמת התאגידים העירוניים!","נאומו של שר הפנים, ח""כ משה ארבל, בוועידת התאגידים העירוניים",,,"lower_bound: 30000, upper_bound: 34999","lower_bound: 200, upper_bound: 299",ILS,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.014454},{""age"":""45-54"",""gender"":""male"",""percentage"":0.117297},{""age"":""65+"",""gender"":""male"",""percentage"":0.075931},{""age"":""65+"",""gender"":""female"",""percentage"":0.069203},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000998},{""age"":""55-64"",""gender"":""male"",""percentage"":0.08155},{""age"":""55-64"",""gender"":""female"",""percentage"":0.051384},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002403},{""age"":""45-54"",""gender"":""female"",""percentage"":0.068907},{""age"":""18-24"",""gender"":""male"",""percentage"":0.021478},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.003401},{""age"":""35-44"",""gender"":""male"",""percentage"":0.167461},{""age"":""35-44"",""gender"":""female"",""percentage"":0.105578},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000887},{""age"":""25-34"",""gender"":""male"",""percentage"":0.136076},{""age"":""25-34"",""gender"":""female"",""percentage"":0.081587},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.001405}","{""region"":""Central District"",""percentage"":0.173937},{""region"":""Heifa"",""percentage"":0.130499},{""region"":""Jerusalem"",""percentage"":0.222874},{""region"":""Northern District"",""percentage"":0.204179},{""region"":""Southern District"",""percentage"":0.120198},{""region"":""Tel Aviv"",""percentage"":0.147984},{""region"":""Unknown"",""percentage"":0.00033}","facebook,instagram","lower_bound: 50001, upper_bound: 100000",he
3965750827024954,869130149932954,"משרד הפנים - Ministry of Interior",2025-04-01,2025-04-01,2025-04-04,"משרד הפנים - Ministry of Interior","השקת רפורמת התאגידים העירוניים

הבוקר השיק משרד הפנים את רפורמת התאגידים העירוניים, לצד הצגת מדד התאגידים, במסגרת ועידת איגוד התאגידים העירוניים המתקיימת בימים אלו באילת.

הרפורמה נועדה לחזק את מנגנוני הממשל התאגידי באמצעות הגברת האפקטיביות של התנהלות וביצועי הדירקטוריונים, שיפור הפיקוח והבקרה על מצבם הפיננסי של התאגידים, וחיזוק הקשר בין הרשויות המקומיות לבין התאגידים – כל זאת תוך טיוב וייעול תהליכי הרגולציה בין השלטון המרכזי לשלטון המקומי.

את עקרונות הרפורמה הציג מנכ״ל משרד רונן פרץ, במסגרת ראיון נרחב שקיים, ומנהל מינהל שלטון מקומי במשרד הפנים , תומר ביטון, הציג את עקרונות הרפורמה ודרכי יישומה. במקביל במסגרת וועידת התאגידים, מקיימים מנהלי ועובדי אגף התאגידים במשרד הפנים כנסי הסברה ליו״רים ולמנכ״לים של התאגידים העירוניים.",,,,"lower_bound: 15000, upper_bound: 19999","lower_bound: 200, upper_bound: 299",ILS,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.012576},{""age"":""45-54"",""gender"":""male"",""percentage"":0.101742},{""age"":""65+"",""gender"":""male"",""percentage"":0.042803},{""age"":""65+"",""gender"":""female"",""percentage"":0.0375},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001212},{""age"":""55-64"",""gender"":""male"",""percentage"":0.048333},{""age"":""55-64"",""gender"":""female"",""percentage"":0.031591},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.004091},{""age"":""45-54"",""gender"":""female"",""percentage"":0.071818},{""age"":""18-24"",""gender"":""male"",""percentage"":0.024015},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.00803},{""age"":""35-44"",""gender"":""male"",""percentage"":0.206288},{""age"":""35-44"",""gender"":""female"",""percentage"":0.145682},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001818},{""age"":""25-34"",""gender"":""male"",""percentage"":0.159773},{""age"":""25-34"",""gender"":""female"",""percentage"":0.101894},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000152},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000682}","{""region"":""Central District"",""percentage"":0.1875},{""region"":""Heifa"",""percentage"":0.116432},{""region"":""Jerusalem"",""percentage"":0.186659},{""region"":""Northern District"",""percentage"":0.246864},{""region"":""Southern District"",""percentage"":0.136475},{""region"":""Tel Aviv"",""percentage"":0.125918},{""region"":""Unknown"",""percentage"":0.000153}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",he
1171497694235713,869130149932954,"משרד הפנים - Ministry of Interior",2025-03-12,2025-03-12,2025-03-17,"משרד הפנים - Ministry of Interior","הבחירות לרשויות המקומיות 2023-2025
3 מועדים, 253 רשויות ומדינה אחת שיצאה לבחור בעתיד.

תודה לכל מי שהצביע והשפיע 🗳✅",,,,"lower_bound: 35000, upper_bound: 39999","lower_bound: 500, upper_bound: 599",ILS,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.138636},{""age"":""45-54"",""gender"":""male"",""percentage"":0.040633},{""age"":""65+"",""gender"":""male"",""percentage"":0.028798},{""age"":""65+"",""gender"":""female"",""percentage"":0.028383},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000641},{""age"":""55-64"",""gender"":""male"",""percentage"":0.030531},{""age"":""55-64"",""gender"":""female"",""percentage"":0.026084},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000905},{""age"":""45-54"",""gender"":""female"",""percentage"":0.031549},{""age"":""18-24"",""gender"":""male"",""percentage"":0.319337},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001206},{""age"":""35-44"",""gender"":""male"",""percentage"":0.056427},{""age"":""35-44"",""gender"":""female"",""percentage"":0.042254},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.002035},{""age"":""25-34"",""gender"":""male"",""percentage"":0.157444},{""age"":""25-34"",""gender"":""female"",""percentage"":0.087825},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.006822},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.00049}","{""region"":""Central District"",""percentage"":0.238792},{""region"":""Heifa"",""percentage"":0.117335},{""region"":""Jerusalem"",""percentage"":0.191398},{""region"":""Northern District"",""percentage"":0.14586},{""region"":""Southern District"",""percentage"":0.116183},{""region"":""Tel Aviv"",""percentage"":0.190395},{""region"":""Unknown"",""percentage"":3.7e-5}",instagram,"lower_bound: 1000001",he
952326180397111,869130149932954,"משרד הפנים - Ministry of Interior",2025-03-12,2025-03-12,2025-03-17,"משרד הפנים - Ministry of Interior","הבחירות לרשויות המקומיות 2023-2025
3 מועדים, 253 רשויות ומדינה אחת שיצאה לבחור בעתיד.

תודה לכל מי שהצביע והשפיע 🗳✅","הבחירות לרשויות המקומיות 2023-2025",,,"lower_bound: 175000, upper_bound: 199999","lower_bound: 4000, upper_bound: 4499",ILS,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.006611},{""age"":""45-54"",""gender"":""male"",""percentage"":0.137737},{""age"":""65+"",""gender"":""male"",""percentage"":0.151019},{""age"":""65+"",""gender"":""female"",""percentage"":0.119502},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001431},{""age"":""55-64"",""gender"":""male"",""percentage"":0.126971},{""age"":""55-64"",""gender"":""female"",""percentage"":0.079578},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002681},{""age"":""45-54"",""gender"":""female"",""percentage"":0.067017},{""age"":""18-24"",""gender"":""male"",""percentage"":0.020491},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002464},{""age"":""35-44"",""gender"":""male"",""percentage"":0.120066},{""age"":""35-44"",""gender"":""female"",""percentage"":0.048851},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000599},{""age"":""25-34"",""gender"":""male"",""percentage"":0.084011},{""age"":""25-34"",""gender"":""female"",""percentage"":0.028611},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000104},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.002256}","{""region"":""Central District"",""percentage"":0.214105},{""region"":""Heifa"",""percentage"":0.119959},{""region"":""Jerusalem"",""percentage"":0.152551},{""region"":""Northern District"",""percentage"":0.218443},{""region"":""Southern District"",""percentage"":0.115854},{""region"":""Tel Aviv"",""percentage"":0.178735},{""region"":""Unknown"",""percentage"":0.000354}",facebook,"lower_bound: 1000001",he
1747581382454119,869130149932954,"משרד הפנים - Ministry of Interior",2025-03-02,2025-03-02,2025-03-05,"משרד הפנים - Ministry of Interior","בִּיום שלישי, 04.03.25  ד' בִּאדר תשפ”ה יתקיימו בחירות חוזרות לראשות עיריית קריית שמונה ולראשות המועצה האזורית הגליל העליון.
  
בואו להצביע בקלפי ביישובכם או באחת מעשרות הקלפיות המיוחדות המוצבות מצפון ועד דרום. 

הקלפיות יהיו פתוחות להצבעה בין השעות 13:00-22:00. 

למידע ולאיתור הקלפיות, היכנסו ל ״פורטל הבחירות לרשויות המקומיות״ של משרד הפנים.,בִּיום שלישי, 04.03.25  ד' בִּאדר תשפ”ה יתקיימו בחירות חוזרות לראשות עיריית קריית שמונה ולראשות המועצה האזורית הגליל העליון.
  
בואו להצביע בקלפי ביישובכם או באחת מעשרות הקלפיות המיוחדות המוצבות מצפון ועד דרום. 

הקלפיות יהיו פתוחות להצבעה בין השעות 13:00-22:00. 

למידע ולאיתור הקלפיות, היכנסו ל ״פורטל הבחירות לרשויות המקומיות״ של משרד הפנים.","למידע ולאיתור הקלפיות >>,למידע ולאיתור הקלפיות >>","gov.il,gov.il",,"lower_bound: 1000000","lower_bound: 10000, upper_bound: 14999",ILS,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.156482},{""age"":""45-54"",""gender"":""male"",""percentage"":0.052114},{""age"":""65+"",""gender"":""male"",""percentage"":0.018251},{""age"":""65+"",""gender"":""female"",""percentage"":0.023517},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000453},{""age"":""55-64"",""gender"":""male"",""percentage"":0.026457},{""age"":""55-64"",""gender"":""female"",""percentage"":0.02669},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001342},{""age"":""45-54"",""gender"":""female"",""percentage"":0.046288},{""age"":""18-24"",""gender"":""male"",""percentage"":0.131603},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002387},{""age"":""35-44"",""gender"":""male"",""percentage"":0.097787},{""age"":""35-44"",""gender"":""female"",""percentage"":0.074805},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001659},{""age"":""25-34"",""gender"":""male"",""percentage"":0.186742},{""age"":""25-34"",""gender"":""female"",""percentage"":0.151282},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.001778},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000363}","{""region"":""Central District"",""percentage"":0.253896},{""region"":""Heifa"",""percentage"":0.149339},{""region"":""Jerusalem"",""percentage"":0.213217},{""region"":""Southern District"",""percentage"":0.156445},{""region"":""Tel Aviv"",""percentage"":0.226713},{""region"":""Unknown"",""percentage"":0.000391}","facebook,instagram","lower_bound: 1000001",he
607394682199603,869130149932954,"משרד הפנים - Ministry of Interior",2025-03-02,2025-03-02,2025-03-05,"משרד הפנים - Ministry of Interior","בִּיום שלישי, 04.03.25  ד' בִּאדר תשפ”ה יתקיימו בחירות חוזרות לראשות עיריית קריית שמונה ולראשות המועצה האזורית הגליל העליון.
  
בואו להצביע בקלפי ביישובכם או באחת מעשרות הקלפיות המיוחדות המוצבות מצפון ועד דרום. 

הקלפיות יהיו פתוחות להצבעה בין השעות 13:00-22:00. 

למידע ולאיתור הקלפיות, היכנסו ל ״פורטל הבחירות לרשויות המקומיות״ של משרד הפנים.,בִּיום שלישי, 04.03.25  ד' בִּאדר תשפ”ה יתקיימו בחירות חוזרות לראשות עיריית קריית שמונה ולראשות המועצה האזורית הגליל העליון.
  
בואו להצביע בקלפי ביישובכם או באחת מעשרות הקלפיות המיוחדות המוצבות מצפון ועד דרום. 

הקלפיות יהיו פתוחות להצבעה בין השעות 13:00-22:00. 

למידע ולאיתור הקלפיות, היכנסו ל ״פורטל הבחירות לרשויות המקומיות״ של משרד הפנים.","למידע ולאיתור הקלפיות >>,למידע ולאיתור הקלפיות >>","gov.il,gov.il",,"lower_bound: 1000000","lower_bound: 9000, upper_bound: 9999",ILS,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.157531},{""age"":""45-54"",""gender"":""male"",""percentage"":0.051501},{""age"":""65+"",""gender"":""male"",""percentage"":0.019878},{""age"":""65+"",""gender"":""female"",""percentage"":0.021331},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000331},{""age"":""55-64"",""gender"":""male"",""percentage"":0.026819},{""age"":""55-64"",""gender"":""female"",""percentage"":0.027054},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001117},{""age"":""45-54"",""gender"":""female"",""percentage"":0.04835},{""age"":""18-24"",""gender"":""male"",""percentage"":0.130514},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002132},{""age"":""35-44"",""gender"":""male"",""percentage"":0.091036},{""age"":""35-44"",""gender"":""female"",""percentage"":0.080013},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001391},{""age"":""25-34"",""gender"":""male"",""percentage"":0.180663},{""age"":""25-34"",""gender"":""female"",""percentage"":0.158587},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.00145},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000301}","{""region"":""Berlin"",""percentage"":1.0e-6},{""region"":""Central District"",""percentage"":0.11532},{""region"":""Heifa"",""percentage"":1.0e-6},{""region"":""Niedersachsen"",""percentage"":1.0e-6},{""region"":""Northern District"",""percentage"":0.884675},{""region"":""Prague"",""percentage"":1.0e-6},{""region"":""Salzburg"",""percentage"":1.0e-6},{""region"":""Tel Aviv"",""percentage"":1.0e-6}","facebook,instagram","lower_bound: 1000001",he
1144187137004838,869130149932954,"משרד הפנים - Ministry of Interior",2025-02-27,2025-02-27,2025-03-05,"משרד הפנים - Ministry of Interior","תושבי קריית שמונה והגליל העליון - הבחירות החוזרות לראשות הרשות עומדות לצאת לדרך!

4.3.25 | ד' באדר התשפ""ה
שימו לב - הקלפיות יפתחו בשעה 13:00 ויפעלו עד השעה 22:00",,,,"lower_bound: 20000, upper_bound: 24999","lower_bound: 400, upper_bound: 499",ILS,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.040028},{""age"":""45-54"",""gender"":""male"",""percentage"":0.114097},{""age"":""65+"",""gender"":""male"",""percentage"":0.08376},{""age"":""65+"",""gender"":""female"",""percentage"":0.081869},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.00134},{""age"":""55-64"",""gender"":""male"",""percentage"":0.085178},{""age"":""55-64"",""gender"":""female"",""percentage"":0.077772},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.003703},{""age"":""45-54"",""gender"":""female"",""percentage"":0.070286},{""age"":""18-24"",""gender"":""male"",""percentage"":0.076826},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.00394},{""age"":""35-44"",""gender"":""male"",""percentage"":0.125364},{""age"":""35-44"",""gender"":""female"",""percentage"":0.058624},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000946},{""age"":""25-34"",""gender"":""male"",""percentage"":0.119612},{""age"":""25-34"",""gender"":""female"",""percentage"":0.054369},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.001261},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.001024}","{""region"":""Nabatieh Governorate"",""percentage"":0.017305},{""region"":""Northern District"",""percentage"":0.982695}","facebook,instagram","lower_bound: 10001, upper_bound: 50000",he
529350316858515,869130149932954,"משרד הפנים - Ministry of Interior",2025-02-27,2025-02-27,2025-03-05,"משרד הפנים - Ministry of Interior","במהלך יום הבחירות לרשויות המקומיות בצפון - סבב ב', יפרסו עבורכם 65 קלפיות מיוחדות בפריסה ארצית!

שימו לב, ביום הבחירות יישלחו אליכם הודעות SMS בהן תוכלו למצוא את מספר הבוחר שלכם 📱

על מנת לקצר את הליך מיון המעטפות המיוחדות וכדי שנוכל לפרסם את התוצאות הסופיות בזמן הקצר ביותר - חשוב שנכין כמה דברים בכניסה לקלפי:
🪪 תעודה מזהה בתוקף 
💬 הודעת ה-SMS שקיבלתם ממשרד הפנים

הקלפיות יפתחו בשעה 13:00 ויפעלו עד השעה 22:00
מחכים לכם בקלפיות! 🗳",,,,"lower_bound: 70000, upper_bound: 79999","lower_bound: 400, upper_bound: 499",ILS,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.181323},{""age"":""45-54"",""gender"":""male"",""percentage"":0.05158},{""age"":""65+"",""gender"":""male"",""percentage"":0.014482},{""age"":""65+"",""gender"":""female"",""percentage"":0.015415},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000195},{""age"":""55-64"",""gender"":""male"",""percentage"":0.0254},{""age"":""55-64"",""gender"":""female"",""percentage"":0.022587},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.0011},{""age"":""45-54"",""gender"":""female"",""percentage"":0.037278},{""age"":""18-24"",""gender"":""male"",""percentage"":0.154294},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001782},{""age"":""35-44"",""gender"":""male"",""percentage"":0.098105},{""age"":""35-44"",""gender"":""female"",""percentage"":0.060631},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001574},{""age"":""25-34"",""gender"":""male"",""percentage"":0.191628},{""age"":""25-34"",""gender"":""female"",""percentage"":0.140786},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.001574},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000265}","{""region"":""Nabatieh Governorate"",""percentage"":0.019989},{""region"":""Northern District"",""percentage"":0.979997},{""region"":""Quneitra Governorate"",""percentage"":1.4e-5}","facebook,instagram","lower_bound: 10001, upper_bound: 50000",he
476906645354158,869130149932954,"משרד הפנים - Ministry of Interior",2025-02-27,2025-02-27,2025-03-05,"משרד הפנים - Ministry of Interior","יוצאים להצביע בבחירות החוזרות ברשות שלכם?
אז מה זה בעצם אומר בחירות חוזרות, או בשמן השני - בחירות סבב ב'?

בהתאם לחוק, ברשויות המקומיות שבהן אף אחד מהמועמדים לראשות הרשות לא קיבל יותר מ-40% מהקולות, יתקיים סבב בחירות שני.
לכן, ביום זה ההצבעה בקלפי תהיה רק בפתק צהוב - איתו מצביעים לראש הרשות 🟡
אז אם אתם תוהים לאן נעלמו שאר הפתקים? אל תדאגו, זו לא טעות!

שימו לב - הקלפיות יפתחו בשעה 13:00 ויפעלו עד השעה 22:00
לפרטים נוספים - היכנסו לפורטל הבחירות 📲","פורטל הבחירות לרשויות המקומיות בצפון",bchirot-muni.moin.gov.il,,"lower_bound: 50000, upper_bound: 59999","lower_bound: 500, upper_bound: 599",ILS,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.209239},{""age"":""45-54"",""gender"":""male"",""percentage"":0.031455},{""age"":""65+"",""gender"":""male"",""percentage"":0.028571},{""age"":""65+"",""gender"":""female"",""percentage"":0.037971},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000427},{""age"":""55-64"",""gender"":""male"",""percentage"":0.021522},{""age"":""55-64"",""gender"":""female"",""percentage"":0.033645},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000641},{""age"":""45-54"",""gender"":""female"",""percentage"":0.038451},{""age"":""18-24"",""gender"":""male"",""percentage"":0.139813},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001602},{""age"":""35-44"",""gender"":""male"",""percentage"":0.069159},{""age"":""35-44"",""gender"":""female"",""percentage"":0.070921},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001228},{""age"":""25-34"",""gender"":""male"",""percentage"":0.155354},{""age"":""25-34"",""gender"":""female"",""percentage"":0.158291},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.001228},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000481}","{""region"":""Nabatieh Governorate"",""percentage"":0.029122},{""region"":""Northern District"",""percentage"":0.970825},{""region"":""Quneitra Governorate"",""percentage"":5.3e-5}","facebook,instagram","lower_bound: 10001, upper_bound: 50000",he
