ad_archive_id,page_id,page_name,ad_creation_time,ad_delivery_start_time,ad_delivery_stop_time,byline,ad_creative_bodies,ad_creative_link_titles,ad_creative_link_captions,ad_creative_link_descriptions,impressions,spend,currency,demographic_distribution,delivery_by_region,publisher_platforms,estimated_audience_size,languages
2459759117597311,2355767117877522,"המחנה הדמוקרטי",2020-01-10,2020-01-10,2020-01-10,"המחנה הדמוקרטי","תחבורה ציבורית היא זכות יסוד שחייבת להיות נגישה לכל אזרח ישראל, בכל יום בשבוע!

תחבורה ציבורית כלל-ארצית בשבת, מסובסדת ומורחבת, תהיה דרישת סף של מרצ-המחנה הדמוקרטי במו""מ הקואליציוני.

http://bit.ly/DEM2020",,,,"lower_bound: 15000, upper_bound: 19999","lower_bound: 400, upper_bound: 499",ILS,"{""age"":""35-44"",""gender"":""male"",""percentage"":0.113072},{""age"":""18-24"",""gender"":""female"",""percentage"":0.019456},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000774},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000929},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.00129},{""age"":""35-44"",""gender"":""female"",""percentage"":0.017701},{""age"":""25-34"",""gender"":""female"",""percentage"":0.024307},{""age"":""45-54"",""gender"":""female"",""percentage"":0.027816},{""age"":""55-64"",""gender"":""female"",""percentage"":0.058833},{""age"":""45-54"",""gender"":""male"",""percentage"":0.10466},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000877},{""age"":""65+"",""gender"":""female"",""percentage"":0.073128},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001342},{""age"":""18-24"",""gender"":""male"",""percentage"":0.155132},{""age"":""25-34"",""gender"":""male"",""percentage"":0.216391},{""age"":""55-64"",""gender"":""male"",""percentage"":0.109047},{""age"":""65+"",""gender"":""male"",""percentage"":0.073902},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001342}","{""region"":""Southern District"",""percentage"":0.164157},{""region"":""Central District"",""percentage"":0.197808},{""region"":""Northern District"",""percentage"":0.17563},{""region"":""Heifa"",""percentage"":0.131326},{""region"":""Tel Aviv"",""percentage"":0.194683},{""region"":""Jerusalem"",""percentage"":0.136396}",facebook,,he
587902241778819,2355767117877522,"המחנה הדמוקרטי",2020-01-10,2020-01-10,2020-01-10,"המחנה הדמוקרטי","תחבורה ציבורית היא זכות יסוד שחייבת להיות נגישה לכל אזרח ישראל, בכל יום בשבוע!

תחבורה ציבורית כלל-ארצית בשבת, מסובסדת ומורחבת, תהיה דרישת סף של מרצ-המחנה הדמוקרטי במו""מ הקואליציוני.

http://bit.ly/DEM2020",,,,"lower_bound: 25000, upper_bound: 29999","lower_bound: 200, upper_bound: 299",ILS,"{""age"":""35-44"",""gender"":""male"",""percentage"":0.102861},{""age"":""55-64"",""gender"":""female"",""percentage"":0.024587},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002168},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.00063},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.004652},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000245},{""age"":""65+"",""gender"":""male"",""percentage"":0.010667},{""age"":""45-54"",""gender"":""female"",""percentage"":0.053896},{""age"":""65+"",""gender"":""female"",""percentage"":0.014689},{""age"":""18-24"",""gender"":""male"",""percentage"":0.145006},{""age"":""45-54"",""gender"":""male"",""percentage"":0.058408},{""age"":""35-44"",""gender"":""female"",""percentage"":0.072992},{""age"":""25-34"",""gender"":""female"",""percentage"":0.142278},{""age"":""55-64"",""gender"":""male"",""percentage"":0.025392},{""age"":""18-24"",""gender"":""female"",""percentage"":0.144201},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.004687},{""age"":""25-34"",""gender"":""male"",""percentage"":0.191977},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000665}","{""region"":""Southern District"",""percentage"":0.129794},{""region"":""Central District"",""percentage"":0.217445},{""region"":""Northern District"",""percentage"":0.17984},{""region"":""Heifa"",""percentage"":0.135252},{""region"":""Tel Aviv"",""percentage"":0.240802},{""region"":""Jerusalem"",""percentage"":0.096867}","facebook,instagram",,he
920091638350224,2355767117877522,"המחנה הדמוקרטי",2019-09-17,2019-09-17,2019-09-17,"המחנה הדמוקרטי","אהוד כבר הצביע, מה איתכם?","Login • Instagram",instagram.com,"Welcome back to Instagram. Sign in to check out what your friends, family & interests have been capturing & sharing around the world.","lower_bound: 10000, upper_bound: 14999","lower_bound: 100, upper_bound: 199",ILS,"{""age"":""25-34"",""gender"":""male"",""percentage"":0.151786},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001221},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000488},{""age"":""55-64"",""gender"":""male"",""percentage"":0.004802},{""age"":""45-54"",""gender"":""female"",""percentage"":0.016847},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.001139},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.00293},{""age"":""65+"",""gender"":""female"",""percentage"":0.004639},{""age"":""45-54"",""gender"":""male"",""percentage"":0.019207},{""age"":""35-44"",""gender"":""female"",""percentage"":0.027183},{""age"":""55-64"",""gender"":""female"",""percentage"":0.004395},{""age"":""35-44"",""gender"":""male"",""percentage"":0.031985},{""age"":""65+"",""gender"":""male"",""percentage"":0.008464},{""age"":""25-34"",""gender"":""female"",""percentage"":0.113942},{""age"":""18-24"",""gender"":""male"",""percentage"":0.331895},{""age"":""18-24"",""gender"":""female"",""percentage"":0.278669},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000407}","{""region"":""Southern District"",""percentage"":0.147691},{""region"":""Central District"",""percentage"":0.237924},{""region"":""Northern District"",""percentage"":0.256968},{""region"":""Heifa"",""percentage"":0.138537},{""region"":""Tel Aviv"",""percentage"":0.139273},{""region"":""Jerusalem"",""percentage"":0.079608}",instagram,,en
388110315152037,2355767117877522,"המחנה הדמוקרטי",2019-09-17,2019-09-17,2019-09-17,"המחנה הדמוקרטי","חייבים את המחנה דמוקרטי בכנסת - צאו להצביע!",,,,"lower_bound: 2000, upper_bound: 2999","lower_bound: 200, upper_bound: 299",ILS,"{""age"":""55-64"",""gender"":""male"",""percentage"":0.127693},{""age"":""65+"",""gender"":""male"",""percentage"":0.149236},{""age"":""65+"",""gender"":""female"",""percentage"":0.253427},{""age"":""45-54"",""gender"":""male"",""percentage"":0.081473},{""age"":""55-64"",""gender"":""female"",""percentage"":0.24011},{""age"":""45-54"",""gender"":""female"",""percentage"":0.130826},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.007442},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.0047},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.005092}","{""region"":""Southern District"",""percentage"":0.072237},{""region"":""Central District"",""percentage"":0.251855},{""region"":""Northern District"",""percentage"":0.104647},{""region"":""Heifa"",""percentage"":0.151113},{""region"":""Tel Aviv"",""percentage"":0.362358},{""region"":""Jerusalem"",""percentage"":0.05779}",facebook,,he
781581368911675,2355767117877522,"המחנה הדמוקרטי",2019-09-17,2019-09-17,2019-09-17,"המחנה הדמוקרטי","חייבים את המחנה דמוקרטי בכנסת - צאו להצביע!",,,,"lower_bound: 10000, upper_bound: 14999","lower_bound: 1000, upper_bound: 1499",ILS,"{""age"":""65+"",""gender"":""female"",""percentage"":0.218071},{""age"":""55-64"",""gender"":""male"",""percentage"":0.235046},{""age"":""45-54"",""gender"":""male"",""percentage"":0.119544},{""age"":""55-64"",""gender"":""female"",""percentage"":0.161936},{""age"":""45-54"",""gender"":""female"",""percentage"":0.06314},{""age"":""65+"",""gender"":""male"",""percentage"":0.186456},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.007275},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002605},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.005928}","{""region"":""Southern District"",""percentage"":0.097173},{""region"":""Central District"",""percentage"":0.248713},{""region"":""Northern District"",""percentage"":0.138987},{""region"":""Heifa"",""percentage"":0.141064},{""region"":""Tel Aviv"",""percentage"":0.301454},{""region"":""Jerusalem"",""percentage"":0.072609}",facebook,,he
398288810875212,2355767117877522,"המחנה הדמוקרטי",2019-09-17,2019-09-17,2019-09-17,"המחנה הדמוקרטי","חייבים את המחנה דמוקרטי בכנסת - צאו להצביע!",,,,"lower_bound: 2000, upper_bound: 2999","lower_bound: 100, upper_bound: 199",ILS,"{""age"":""65+"",""gender"":""female"",""percentage"":0.272232},{""age"":""65+"",""gender"":""male"",""percentage"":0.134301},{""age"":""55-64"",""gender"":""male"",""percentage"":0.151543},{""age"":""45-54"",""gender"":""male"",""percentage"":0.07078},{""age"":""45-54"",""gender"":""female"",""percentage"":0.106171},{""age"":""55-64"",""gender"":""female"",""percentage"":0.24637},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.006806},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.009074},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002722}","{""region"":""Southern District"",""percentage"":0.127517},{""region"":""Central District"",""percentage"":0.287696},{""region"":""Northern District"",""percentage"":0.122148},{""region"":""Heifa"",""percentage"":0.15123},{""region"":""Tel Aviv"",""percentage"":0.247427},{""region"":""Jerusalem"",""percentage"":0.063982}",facebook,,he
365628807657005,2355767117877522,"המחנה הדמוקרטי",2019-09-17,2019-09-17,2019-09-17,"המחנה הדמוקרטי","עכשיו, תורכם.
צאו להצביע!
המחנה הדמוקרטי, פתק 'מרצ'.","עכשיו, תורכם. צאו להצביע! המחנה הדמוקרטי, פתק 'מרצ'.",,,"lower_bound: 30000, upper_bound: 34999","lower_bound: 700, upper_bound: 799",ILS,"{""age"":""25-34"",""gender"":""male"",""percentage"":0.272941},{""age"":""35-44"",""gender"":""female"",""percentage"":0.027764},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000635},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000603},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002031},{""age"":""55-64"",""gender"":""female"",""percentage"":0.014723},{""age"":""45-54"",""gender"":""female"",""percentage"":0.01596},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.005807},{""age"":""65+"",""gender"":""female"",""percentage"":0.016658},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.004537},{""age"":""45-54"",""gender"":""male"",""percentage"":0.094619},{""age"":""65+"",""gender"":""male"",""percentage"":0.03192},{""age"":""55-64"",""gender"":""male"",""percentage"":0.058066},{""age"":""25-34"",""gender"":""female"",""percentage"":0.042137},{""age"":""18-24"",""gender"":""male"",""percentage"":0.199549},{""age"":""35-44"",""gender"":""male"",""percentage"":0.161696},{""age"":""18-24"",""gender"":""female"",""percentage"":0.049372},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000984}","{""region"":""Southern District"",""percentage"":0.122241},{""region"":""Central District"",""percentage"":0.214834},{""region"":""Northern District"",""percentage"":0.195255},{""region"":""Heifa"",""percentage"":0.121399},{""region"":""Tel Aviv"",""percentage"":0.205013},{""region"":""Jerusalem"",""percentage"":0.141258}",facebook,,he
722609944876014,2355767117877522,"המחנה הדמוקרטי",2019-09-17,2019-09-17,2019-09-17,"המחנה הדמוקרטי","עכשיו, תורכם.
צאו להצביע!
המחנה הדמוקרטי, פתק 'מרצ'.","עכשיו, תורכם. צאו להצביע! המחנה הדמוקרטי, פתק 'מרצ'.",,,"lower_bound: 0, upper_bound: 999","lower_bound: 0, upper_bound: 99",ILS,"{""age"":""25-34"",""gender"":""male"",""percentage"":0.273913},{""age"":""18-24"",""gender"":""male"",""percentage"":0.196739},{""age"":""45-54"",""gender"":""male"",""percentage"":0.067391},{""age"":""35-44"",""gender"":""female"",""percentage"":0.03587},{""age"":""18-24"",""gender"":""female"",""percentage"":0.166304},{""age"":""35-44"",""gender"":""male"",""percentage"":0.118478},{""age"":""25-34"",""gender"":""female"",""percentage"":0.072826},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.006522},{""age"":""55-64"",""gender"":""male"",""percentage"":0.016304},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.004348},{""age"":""65+"",""gender"":""male"",""percentage"":0.01087},{""age"":""45-54"",""gender"":""female"",""percentage"":0.019565},{""age"":""55-64"",""gender"":""female"",""percentage"":0.003261},{""age"":""65+"",""gender"":""female"",""percentage"":0.005435},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.001087},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001087}","{""region"":""Southern District"",""percentage"":0.111957},{""region"":""Central District"",""percentage"":0.195652},{""region"":""Northern District"",""percentage"":0.219565},{""region"":""Heifa"",""percentage"":0.109783},{""region"":""Tel Aviv"",""percentage"":0.228261},{""region"":""Jerusalem"",""percentage"":0.134783}",facebook,,he
833279223753933,2355767117877522,"המחנה הדמוקרטי",2019-09-16,2019-09-17,2019-09-17,"המחנה הדמוקרטי","קשה להישאר מפוקסים מרוב ספינים פוליטיים שמפיץ החשוד בשוחד, מרמה והפרת אמונים. נתניהו והליכוד עושים הכל כדי שתשכחו מהשחיתות - תשכחו מהצוללות, תשכחו מהמתנות לחברים ב-1.8 מיליארד שקל, תשכחו מקניית כלי תקשורת בעסקאות שוחד. תשכחו שהבחירות הן בשביל שנתניהו וחבריו המושחתים בליכוד יוכלו לחוקק חוק חסינות שיציל אותם מאימת הדין. אנחנו לא שוכחים, ואנחנו יודעים שגם אתם לא. גנץ מוכן לחבור לליכוד, ומציע ממשלת אחדות נגועה בשחיתות. לא אנחנו. רק קול למחנה הדמוקרטי הוא קול בטוח נגד השחיתות. רק קול למחנה הדמוקרטי הוא קול בטוח בלי ליכוד.",,,,"lower_bound: 15000, upper_bound: 19999","lower_bound: 100, upper_bound: 199",ILS,"{""age"":""25-34"",""gender"":""male"",""percentage"":0.445412},{""age"":""18-24"",""gender"":""male"",""percentage"":0.149273},{""age"":""25-34"",""gender"":""female"",""percentage"":0.170925},{""age"":""18-24"",""gender"":""female"",""percentage"":0.084775},{""age"":""35-44"",""gender"":""male"",""percentage"":0.099897},{""age"":""35-44"",""gender"":""female"",""percentage"":0.033165},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000745},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.010654},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.005155}","{""region"":""Southern District"",""percentage"":0.119112},{""region"":""Central District"",""percentage"":0.202136},{""region"":""Northern District"",""percentage"":0.174328},{""region"":""Heifa"",""percentage"":0.125278},{""region"":""Tel Aviv"",""percentage"":0.263005},{""region"":""Jerusalem"",""percentage"":0.116142}",facebook,,he
449557882325021,2355767117877522,"המחנה הדמוקרטי",2019-09-16,2019-09-17,2019-09-17,"המחנה הדמוקרטי","חמותך, גיסתך, השכן...
מה שמשנה זה שאת ואתה הצבעתם נכון!

הצבעתם ""המחנה הדמוקרטי""? בחרו תמונה ושתפו!
(יש לכם עוד רעיונות? כתבו לנו בתגובות!)",,,,"lower_bound: 1000, upper_bound: 1999","lower_bound: 0, upper_bound: 99",ILS,"{""age"":""18-24"",""gender"":""male"",""percentage"":0.382632},{""age"":""25-34"",""gender"":""female"",""percentage"":0.089474},{""age"":""25-34"",""gender"":""male"",""percentage"":0.358947},{""age"":""18-24"",""gender"":""female"",""percentage"":0.131053},{""age"":""35-44"",""gender"":""male"",""percentage"":0.026316},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.001053},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.004737},{""age"":""35-44"",""gender"":""female"",""percentage"":0.004211},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001579}","{""region"":""Southern District"",""percentage"":0.126183},{""region"":""Central District"",""percentage"":0.268665},{""region"":""Northern District"",""percentage"":0.101998},{""region"":""Heifa"",""percentage"":0.126183},{""region"":""Tel Aviv"",""percentage"":0.245005},{""region"":""Jerusalem"",""percentage"":0.131966}",facebook,,he
419772641985337,2355767117877522,"המחנה הדמוקרטי",2019-09-16,2019-09-17,2019-09-17,"המחנה הדמוקרטי","חמותך, גיסתך, השכן...
מה שמשנה זה שאת ואתה הצבעתם נכון!

הצבעתם ""המחנה הדמוקרטי""? בחרו תמונה ושתפו!
(יש לכם עוד רעיונות? כתבו לנו בתגובות!)",,,,"lower_bound: 0, upper_bound: 999","lower_bound: 0, upper_bound: 99",ILS,,,facebook,,he
2374379556009074,2355767117877522,"המחנה הדמוקרטי",2019-09-16,2019-09-17,2019-09-17,"המחנה הדמוקרטי","חמותך, גיסתך, השכן...
מה שמשנה זה שאת ואתה הצבעתם נכון!

הצבעתם ""המחנה הדמוקרטי""? בחרו תמונה ושתפו!
(יש לכם עוד רעיונות? כתבו לנו בתגובות!)",,,,"lower_bound: 0, upper_bound: 999","lower_bound: 0, upper_bound: 99",ILS,"{""age"":""18-24"",""gender"":""male"",""percentage"":0.263158},{""age"":""18-24"",""gender"":""female"",""percentage"":0.25},{""age"":""35-44"",""gender"":""male"",""percentage"":0.026316},{""age"":""25-34"",""gender"":""male"",""percentage"":0.25},{""age"":""25-34"",""gender"":""female"",""percentage"":0.203947},{""age"":""35-44"",""gender"":""female"",""percentage"":0.006579}","{""region"":""Southern District"",""percentage"":0.118421},{""region"":""Central District"",""percentage"":0.217105},{""region"":""Northern District"",""percentage"":0.085526},{""region"":""Heifa"",""percentage"":0.151316},{""region"":""Tel Aviv"",""percentage"":0.335526},{""region"":""Jerusalem"",""percentage"":0.092105}",facebook,,he
386902598876473,2355767117877522,"המחנה הדמוקרטי",2019-09-16,2019-09-17,2019-09-17,"המחנה הדמוקרטי","קשה להישאר מפוקסים מרוב ספינים פוליטיים שמפיץ החשוד בשוחד, מרמה והפרת אמונים. נתניהו והליכוד עושים הכל כדי שתשכחו מהשחיתות - תשכחו מהצוללות, תשכחו מהמתנות לחברים ב-1.8 מיליארד שקל, תשכחו מקניית כלי תקשורת בעסקאות שוחד. תשכחו שהבחירות הן בשביל שנתניהו וחבריו המושחתים בליכוד יוכלו לחוקק חוק חסינות שיציל אותם מאימת הדין. אנחנו לא שוכחים, ואנחנו יודעים שגם אתם לא. גנץ מוכן לחבור לליכוד, ומציע ממשלת אחדות נגועה בשחיתות. לא אנחנו. רק קול למחנה הדמוקרטי הוא קול בטוח נגד השחיתות. רק קול למחנה הדמוקרטי הוא קול בטוח בלי ליכוד.",,,,"lower_bound: 3000, upper_bound: 3999","lower_bound: 100, upper_bound: 199",ILS,"{""age"":""25-34"",""gender"":""male"",""percentage"":0.481252},{""age"":""35-44"",""gender"":""male"",""percentage"":0.153622},{""age"":""18-24"",""gender"":""male"",""percentage"":0.142337},{""age"":""25-34"",""gender"":""female"",""percentage"":0.119403},{""age"":""35-44"",""gender"":""female"",""percentage"":0.046596},{""age"":""18-24"",""gender"":""female"",""percentage"":0.04696},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.004368},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.004368},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.001092}","{""region"":""Southern District"",""percentage"":0.143421},{""region"":""Central District"",""percentage"":0.18573},{""region"":""Northern District"",""percentage"":0.115812},{""region"":""Heifa"",""percentage"":0.120473},{""region"":""Tel Aviv"",""percentage"":0.324848},{""region"":""Jerusalem"",""percentage"":0.109717}",facebook,,he
441100896514989,2355767117877522,"המחנה הדמוקרטי",2019-09-16,2019-09-17,2019-09-17,"המחנה הדמוקרטי","קשה להישאר מפוקסים מרוב ספינים פוליטיים שמפיץ החשוד בשוחד, מרמה והפרת אמונים. נתניהו והליכוד עושים הכל כדי שתשכחו מהשחיתות - תשכחו מהצוללות, תשכחו מהמתנות לחברים ב-1.8 מיליארד שקל, תשכחו מקניית כלי תקשורת בעסקאות שוחד. תשכחו שהבחירות הן בשביל שנתניהו וחבריו המושחתים בליכוד יוכלו לחוקק חוק חסינות שיציל אותם מאימת הדין. אנחנו לא שוכחים, ואנחנו יודעים שגם אתם לא. גנץ מוכן לחבור לליכוד, ומציע ממשלת אחדות נגועה בשחיתות. לא אנחנו. רק קול למחנה הדמוקרטי הוא קול בטוח נגד השחיתות. רק קול למחנה הדמוקרטי הוא קול בטוח בלי ליכוד.",,,,"lower_bound: 0, upper_bound: 999","lower_bound: 0, upper_bound: 99",ILS,"{""age"":""18-24"",""gender"":""male"",""percentage"":0.088657},{""age"":""25-34"",""gender"":""male"",""percentage"":0.349413},{""age"":""35-44"",""gender"":""female"",""percentage"":0.112125},{""age"":""18-24"",""gender"":""female"",""percentage"":0.067797},{""age"":""25-34"",""gender"":""female"",""percentage"":0.226858},{""age"":""35-44"",""gender"":""male"",""percentage"":0.146023},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.005215},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.003911}","{""region"":""Southern District"",""percentage"":0.093298},{""region"":""Central District"",""percentage"":0.164258},{""region"":""Northern District"",""percentage"":0.103811},{""region"":""Heifa"",""percentage"":0.110381},{""region"":""Tel Aviv"",""percentage"":0.431012},{""region"":""Jerusalem"",""percentage"":0.09724}",facebook,,he
2407309686027295,2355767117877522,"המחנה הדמוקרטי",2019-09-16,2019-09-17,2019-09-17,"המחנה הדמוקרטי","קשה להישאר מפוקסים מרוב ספינים פוליטיים שמפיץ החשוד בשוחד, מרמה והפרת אמונים. נתניהו והליכוד עושים הכל כדי שתשכחו מהשחיתות - תשכחו מהצוללות, תשכחו מהמתנות לחברים ב-1.8 מיליארד שקל, תשכחו מקניית כלי תקשורת בעסקאות שוחד. תשכחו שהבחירות הן בשביל שנתניהו וחבריו המושחתים בליכוד יוכלו לחוקק חוק חסינות שיציל אותם מאימת הדין. אנחנו לא שוכחים, ואנחנו יודעים שגם אתם לא. גנץ מוכן לחבור לליכוד, ומציע ממשלת אחדות נגועה בשחיתות. לא אנחנו. רק קול למחנה הדמוקרטי הוא קול בטוח נגד השחיתות. רק קול למחנה הדמוקרטי הוא קול בטוח בלי ליכוד.",,,,"lower_bound: 0, upper_bound: 999","lower_bound: 0, upper_bound: 99",ILS,"{""age"":""25-34"",""gender"":""male"",""percentage"":0.380952},{""age"":""35-44"",""gender"":""male"",""percentage"":0.095238},{""age"":""25-34"",""gender"":""female"",""percentage"":0.174603},{""age"":""18-24"",""gender"":""male"",""percentage"":0.119048},{""age"":""18-24"",""gender"":""female"",""percentage"":0.134921},{""age"":""35-44"",""gender"":""female"",""percentage"":0.071429},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.015873},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.007937}","{""region"":""Southern District"",""percentage"":0.126984},{""region"":""Central District"",""percentage"":0.285714},{""region"":""Northern District"",""percentage"":0.095238},{""region"":""Heifa"",""percentage"":0.134921},{""region"":""Tel Aviv"",""percentage"":0.269841},{""region"":""Jerusalem"",""percentage"":0.087302}",facebook,,he
2329250734072040,2355767117877522,"המחנה הדמוקרטי",2019-09-16,2019-09-17,2019-09-17,"המחנה הדמוקרטי","יכול להיות שהתייאשתם? מבינים אתכם. אנחנו כבר שנים נלחמים בנתניהו ובליכוד המושחת, וזה מתיש. אתם לא קונים את הבלוף של מי שרואה בגנץ תקווה כי אתם מבינים שממשלת אחדות עם הליכוד זה עוד מאותו דבר ורק יותר גרוע. אנחנו מזמינים אתכם להצביע הצבעת ייאוש למחנה הדמוקרטי! קחו את היאוש שלכם, שימו אותו בפתק מרצ, ואנחנו נטפל בו בשבילכם. גם לייאוש מגיע ייצוג, והייצוג הזה הוא במחנה הדמוקרטי.",,,,"lower_bound: 10000, upper_bound: 14999","lower_bound: 100, upper_bound: 199",ILS,"{""age"":""25-34"",""gender"":""female"",""percentage"":0.156235},{""age"":""25-34"",""gender"":""male"",""percentage"":0.447042},{""age"":""18-24"",""gender"":""female"",""percentage"":0.086858},{""age"":""35-44"",""gender"":""male"",""percentage"":0.101049},{""age"":""18-24"",""gender"":""male"",""percentage"":0.161445},{""age"":""35-44"",""gender"":""female"",""percentage"":0.034277},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.003496},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.008843},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000754}","{""region"":""Southern District"",""percentage"":0.136223},{""region"":""Central District"",""percentage"":0.198968},{""region"":""Northern District"",""percentage"":0.184933},{""region"":""Heifa"",""percentage"":0.124871},{""region"":""Tel Aviv"",""percentage"":0.237771},{""region"":""Jerusalem"",""percentage"":0.117234}",facebook,,he
382639156007831,2355767117877522,"המחנה הדמוקרטי",2019-09-16,2019-09-17,2019-09-17,"המחנה הדמוקרטי","יכול להיות שהתייאשתם? מבינים אתכם. אנחנו כבר שנים נלחמים בנתניהו ובליכוד המושחת, וזה מתיש. אתם לא קונים את הבלוף של מי שרואה בגנץ תקווה כי אתם מבינים שממשלת אחדות עם הליכוד זה עוד מאותו דבר ורק יותר גרוע. אנחנו מזמינים אתכם להצביע הצבעת ייאוש למחנה הדמוקרטי! קחו את היאוש שלכם, שימו אותו בפתק מרצ, ואנחנו נטפל בו בשבילכם. גם לייאוש מגיע ייצוג, והייצוג הזה הוא במחנה הדמוקרטי.",,,,"lower_bound: 6000, upper_bound: 6999","lower_bound: 200, upper_bound: 299",ILS,"{""age"":""25-34"",""gender"":""male"",""percentage"":0.448051},{""age"":""18-24"",""gender"":""male"",""percentage"":0.232979},{""age"":""18-24"",""gender"":""female"",""percentage"":0.071815},{""age"":""35-44"",""gender"":""male"",""percentage"":0.087297},{""age"":""25-34"",""gender"":""female"",""percentage"":0.120313},{""age"":""35-44"",""gender"":""female"",""percentage"":0.029472},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.005969},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002425},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.001679}","{""region"":""Southern District"",""percentage"":0.112053},{""region"":""Central District"",""percentage"":0.21139},{""region"":""Northern District"",""percentage"":0.090859},{""region"":""Heifa"",""percentage"":0.113527},{""region"":""Tel Aviv"",""percentage"":0.34261},{""region"":""Jerusalem"",""percentage"":0.129561}",facebook,,he
2086269135002520,2355767117877522,"המחנה הדמוקרטי",2019-09-16,2019-09-17,2019-09-17,"המחנה הדמוקרטי","יכול להיות שהתייאשתם? מבינים אתכם. אנחנו כבר שנים נלחמים בנתניהו ובליכוד המושחת, וזה מתיש. אתם לא קונים את הבלוף של מי שרואה בגנץ תקווה כי אתם מבינים שממשלת אחדות עם הליכוד זה עוד מאותו דבר ורק יותר גרוע. אנחנו מזמינים אתכם להצביע הצבעת ייאוש למחנה הדמוקרטי! קחו את היאוש שלכם, שימו אותו בפתק מרצ, ואנחנו נטפל בו בשבילכם. גם לייאוש מגיע ייצוג, והייצוג הזה הוא במחנה הדמוקרטי.",,,,"lower_bound: 0, upper_bound: 999","lower_bound: 0, upper_bound: 99",ILS,"{""age"":""25-34"",""gender"":""female"",""percentage"":0.274238},{""age"":""18-24"",""gender"":""male"",""percentage"":0.155125},{""age"":""25-34"",""gender"":""male"",""percentage"":0.257618},{""age"":""18-24"",""gender"":""female"",""percentage"":0.174515},{""age"":""35-44"",""gender"":""female"",""percentage"":0.072022},{""age"":""35-44"",""gender"":""male"",""percentage"":0.052632},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.01385}","{""region"":""Southern District"",""percentage"":0.121884},{""region"":""Central District"",""percentage"":0.246537},{""region"":""Northern District"",""percentage"":0.074792},{""region"":""Heifa"",""percentage"":0.146814},{""region"":""Tel Aviv"",""percentage"":0.32687},{""region"":""Jerusalem"",""percentage"":0.083102}",facebook,,he
