ad_archive_id,page_id,page_name,ad_creation_time,ad_delivery_start_time,ad_delivery_stop_time,byline,ad_creative_bodies,ad_creative_link_titles,ad_creative_link_captions,ad_creative_link_descriptions,impressions,spend,currency,demographic_distribution,delivery_by_region,publisher_platforms,estimated_audience_size,languages
4159487650935624,143563882388180,"עיריית אשקלון",2025-12-29,2025-12-29,2025-12-30,"עיריית אשקלון","הכירו את העסק, והפעם “במה להצלחה” 🎤✨

הבעלים שי הראל זיקק את 10 שנות הניסיון שלו בעולם המוזיקה לתוכנית ליווי ייחודית לזמרים צעירים! 🎵

מתחם במה להצלחה כולל אולפן הקלטות מקצועי, סטודיו פודקאסטים, חברת סושיאל מדיה, חדר חזרות מאובזר וסטודיו צילום - כל הכלים שזמר צעיר צריך במקום אחד! 🎬🎹

תוכנית “במה להצלחה”, שהתחילה לאחרונה, מלווה זמרות וזמרים צעירים ומעניקה להם את המעטפת הטובה ביותר לתחילת הדרך המוזיקלית שלהם 🌟

📲 לפרטים נוספים > https://did.li/pY4rl","הכר את העסק- במה להצלחה",,,"lower_bound: 10000, upper_bound: 14999","lower_bound: 0, upper_bound: 99",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""vaq8mnm6arzl9nz8nosf"",""percentage"":0.011814},{""age"":""45-54"",""gender"":""male"",""percentage"":0.091898},{""age"":""65+"",""gender"":""male"",""percentage"":0.059488},{""age"":""65+"",""gender"":""female"",""percentage"":0.089388},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001045},{""age"":""55-64"",""gender"":""male"",""percentage"":0.062206},{""age"":""55-64"",""gender"":""female"",""percentage"":0.065342},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001986},{""age"":""45-54"",""gender"":""female"",""percentage"":0.081443},{""age"":""18-24"",""gender"":""male"",""percentage"":0.012964},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.004496},{""age"":""35-44"",""gender"":""male"",""percentage"":0.170831},{""age"":""35-44"",""gender"":""female"",""percentage"":0.107266},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000732},{""age"":""25-34"",""gender"":""male"",""percentage"":0.145321},{""age"":""25-34"",""gender"":""female"",""percentage"":0.093257},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000105},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000418}","{""region"":""Southern District"",""__umapi_query_id"":""qm0rqzi4fy57ubrcoji2"",""percentage"":1}",facebook,"lower_bound: 50001, upper_bound: 100000",he
2962424393952339,143563882388180,"עיריית אשקלון",2025-12-28,2025-12-28,2025-12-30,"עיריית אשקלון","הכירו את העסק, והפעם “במה להצלחה” 🎤✨

הבעלים שי הראל זיקק את 10 שנות הניסיון שלו בעולם המוזיקה לתוכנית ליווי ייחודית לזמרים צעירים! 🎵

מתחם במה להצלחה כולל אולפן הקלטות מקצועי, סטודיו פודקאסטים, חברת סושיאל מדיה, חדר חזרות מאובזר וסטודיו צילום - כל הכלים שזמר צעיר צריך במקום אחד! 🎬🎹

תוכנית “במה להצלחה”, שהתחילה לאחרונה, מלווה זמרות וזמרים צעירים ומעניקה להם את המעטפת הטובה ביותר לתחילת הדרך המוזיקלית שלהם 🌟

📲 לפרטים נוספים > https://did.li/pY4rl","הכר את העסק- במה להצלחה",,,"lower_bound: 10000, upper_bound: 14999","lower_bound: 100, upper_bound: 199",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""65ss869b4z7ar4kaeffq"",""percentage"":0.012435},{""age"":""45-54"",""gender"":""male"",""percentage"":0.08505},{""age"":""65+"",""gender"":""male"",""percentage"":0.05546},{""age"":""65+"",""gender"":""female"",""percentage"":0.088227},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000998},{""age"":""55-64"",""gender"":""male"",""percentage"":0.057638},{""age"":""55-64"",""gender"":""female"",""percentage"":0.066897},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001815},{""age"":""45-54"",""gender"":""female"",""percentage"":0.085777},{""age"":""18-24"",""gender"":""male"",""percentage"":0.012617},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.004175},{""age"":""35-44"",""gender"":""male"",""percentage"":0.164382},{""age"":""35-44"",""gender"":""female"",""percentage"":0.117727},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000545},{""age"":""25-34"",""gender"":""male"",""percentage"":0.149133},{""age"":""25-34"",""gender"":""female"",""percentage"":0.096578},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000545}","{""region"":""Southern District"",""__umapi_query_id"":""mznpnkhpikd1e3287ya4"",""percentage"":1}",facebook,"lower_bound: 50001, upper_bound: 100000",he
903104288722762,143563882388180,"עיריית אשקלון",2025-12-24,2025-12-24,2025-12-27,"עיריית אשקלון","הכירו את העסק, והפעם “יגאל חלפים בע”מ” 🚗

חנות חלפים לרכב עם 30 שנות ניסיון ושירות מעולה! 🔧

יגאל, מציע לכם שירות טוב, אמין ומחיר הוגן עם צוות מדהים ומקצועי שדואג שכל לקוח יוצא מרוצה ✨

החנות משווקת חלקי חילוף לרכב, אופנועים, משאיות, טרקטורים ושופלים - כל מה שקשור לרכב! 🛞

צריכים חלקי חילוף? יגאל חלפים – זה המקום הנכון! 💪

📍 כתובת: רחוב התעשייה 10, אשקלון","הכר את העסק - יגאל חלפים",,,"lower_bound: 20000, upper_bound: 24999","lower_bound: 100, upper_bound: 199",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""b8dmf6s2dlbzxzpvod1e"",""percentage"":0.008093},{""age"":""45-54"",""gender"":""male"",""percentage"":0.116703},{""age"":""65+"",""gender"":""male"",""percentage"":0.088887},{""age"":""65+"",""gender"":""female"",""percentage"":0.088615},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000816},{""age"":""55-64"",""gender"":""male"",""percentage"":0.087731},{""age"":""55-64"",""gender"":""female"",""percentage"":0.062024},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001496},{""age"":""45-54"",""gender"":""female"",""percentage"":0.062976},{""age"":""18-24"",""gender"":""male"",""percentage"":0.015234},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.003876},{""age"":""35-44"",""gender"":""male"",""percentage"":0.174102},{""age"":""35-44"",""gender"":""female"",""percentage"":0.078686},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000544},{""age"":""25-34"",""gender"":""male"",""percentage"":0.148939},{""age"":""25-34"",""gender"":""female"",""percentage"":0.060528},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000748}","{""region"":""Southern District"",""__umapi_query_id"":""hwrufx7r14fen4m66fi9"",""percentage"":1}",facebook,"lower_bound: 50001, upper_bound: 100000",he
1223947762951367,143563882388180,"עיריית אשקלון",2025-12-22,2025-12-22,2025-12-28,"עיריית אשקלון","יש פצעים שלא רואים בעיניים, אבל הם מורגשים עמוק בלב ❤️‍🩹

מאז ה-7.10 משהו בקשר עם הילד.ה השתנה?
יותר קצרים בתקשורת, הליכה על ביצים, חיכוכים, ריחוק או קושי למצוא את המילים הנכונות?

אתם לא לבד!

אנחנו מזמינים אתכם לסדנה ייחודית להורים: 
נבין כיצד טראומה משפיעה על הקשר הורה-ילד
🌊 נתרגל כלים להתמודדות עם סערת רגשות, הצפה או התכנסות
👥 נפגוש הורים נוספים שחווים חוויות דומות 

📅 שני מפגשים: 28.12 ו-4.1
⏰ 17:00-20:30
📍 רח׳ דוד רמז 29, אשקלון
🫶 ללא עלות | מספר המקומות מוגבל
👉 להרשמה: https://forms.gle/TNJWLXLqZ2356LQYA

לפרטים נוספים > שמרית 058-4224606

🎧 רוצים לשמוע מה אמרה אמא שהשתתפה בסדנה?https://did.li/lZ8aa",,,,"lower_bound: 15000, upper_bound: 19999","lower_bound: 200, upper_bound: 299",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""2u5em1pmo94zsrzjpdj5"",""percentage"":0.072775},{""age"":""45-54"",""gender"":""male"",""percentage"":0.03974},{""age"":""65+"",""gender"":""male"",""percentage"":0.034687},{""age"":""65+"",""gender"":""female"",""percentage"":0.086183},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.00068},{""age"":""55-64"",""gender"":""male"",""percentage"":0.026428},{""age"":""55-64"",""gender"":""female"",""percentage"":0.052857},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001457},{""age"":""45-54"",""gender"":""female"",""percentage"":0.071318},{""age"":""18-24"",""gender"":""male"",""percentage"":0.081422},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.003692},{""age"":""35-44"",""gender"":""male"",""percentage"":0.091236},{""age"":""35-44"",""gender"":""female"",""percentage"":0.113486},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001555},{""age"":""25-34"",""gender"":""male"",""percentage"":0.175962},{""age"":""25-34"",""gender"":""female"",""percentage"":0.144675},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000972},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000874}","{""region"":""Central District"",""__umapi_query_id"":""ovi3vi71znvthr62tnzg"",""percentage"":0.188667},{""region"":""Gaza Strip"",""percentage"":0.057322},{""region"":""Jerusalem"",""percentage"":0.023642},{""region"":""Southern District"",""percentage"":0.593395},{""region"":""Tel Aviv"",""percentage"":0.090159},{""region"":""West Bank"",""percentage"":0.046815}","facebook,instagram","lower_bound: 1000001",he
1315281610357743,143563882388180,"עיריית אשקלון",2025-12-17,2025-12-17,2025-12-20,"עיריית אשקלון","הכירו את העסק, והפעם “Challenge - המרכז לאימונים פונקציונאליים” 💪

ציון ארביב, בעל הסטודיו עם למעלה מ-25 שנות ניסיון בתחום הספורט, מביא לכם את כל סוגי האימונים תחת קורת גג אחת! 🏋️

בסטודיו תמצאו מגוון רחב של אימונים וסגנונות - אימוני כוח, סיבולת לב ריאה, ספינינג, TRX, זומבה וקיקבוקסינג 🥊🚴‍♂️

מוכנים לאתגר את עצמכם? בואו ל-Challenge! 🔥

📍 כתובת: אלי כהן 39, אשקלון
📞 טלפון: 054-9737258","הכר את העסק - CHALLENGE",,,"lower_bound: 30000, upper_bound: 34999","lower_bound: 100, upper_bound: 199",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""b2n4zudjz7479lhi2naj"",""percentage"":0.009128},{""age"":""45-54"",""gender"":""male"",""percentage"":0.110037},{""age"":""65+"",""gender"":""male"",""percentage"":0.049844},{""age"":""65+"",""gender"":""female"",""percentage"":0.058792},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000678},{""age"":""55-64"",""gender"":""male"",""percentage"":0.062633},{""age"":""55-64"",""gender"":""female"",""percentage"":0.050793},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001988},{""age"":""45-54"",""gender"":""female"",""percentage"":0.061819},{""age"":""18-24"",""gender"":""male"",""percentage"":0.016087},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.004519},{""age"":""35-44"",""gender"":""male"",""percentage"":0.229292},{""age"":""35-44"",""gender"":""female"",""percentage"":0.087351},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000994},{""age"":""25-34"",""gender"":""male"",""percentage"":0.181481},{""age"":""25-34"",""gender"":""female"",""percentage"":0.073975},{""age"":""18-24"",""gender"":""unknown"",""percentage"":4.5e-5},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000542}","{""region"":""Central District"",""__umapi_query_id"":""477smlsohl4bpizk6v24"",""percentage"":0.285494},{""region"":""Gaza Strip"",""percentage"":0.008621},{""region"":""Jerusalem"",""percentage"":0.031668},{""region"":""Southern District"",""percentage"":0.496261},{""region"":""Tel Aviv"",""percentage"":0.162474},{""region"":""West Bank"",""percentage"":0.015482}",facebook,"lower_bound: 1000001",he
894011499861231,143563882388180,"עיריית אשקלון",2025-12-15,2025-12-15,2025-12-18,"עיריית אשקלון","הכירו את העסק, והפעם “Kings Barber & Academy” ✂️👑

האחים אוריאל ונהוראי פתחו לפני שנתיים מספרת גברים שמביאה משהו חדש לאשקלון - איכות בלתי מתפשרת, שירות מיוחד ויחס חם! 💈

המספרה מציעה גם שירות הסרת שיער בלייזר לגברים ונשים עם הטכנולוגיות המתקדמות ביותר, כך שכל אחד יוכל להרגיש הכי טוב שאפשר ✨

שירות מיוחד נוסף שמציעים במקום הינו אקדמיה לספרים מתחילים, כך תוכלו לפגוש גם את הדור הבא של ספרי אשקלון 📚

אז אם אתם רוצים תספורת מגניבה עם אווירה מיוחדת? אתם כבר יודעים לאיפה ללכת!  

📍 כתובת: הרצל 109, אשקלון
📲 להזמנת תורים > https://did.li/qVGx5","הכר את העסק - קינגס ברבר אקדמי",,,"lower_bound: 15000, upper_bound: 19999","lower_bound: 100, upper_bound: 199",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""sq49llf8f9pxmahovdai"",""percentage"":0.013144},{""age"":""45-54"",""gender"":""male"",""percentage"":0.088844},{""age"":""65+"",""gender"":""male"",""percentage"":0.059878},{""age"":""65+"",""gender"":""female"",""percentage"":0.084219},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000811},{""age"":""55-64"",""gender"":""male"",""percentage"":0.061176},{""age"":""55-64"",""gender"":""female"",""percentage"":0.061907},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001866},{""age"":""45-54"",""gender"":""female"",""percentage"":0.067992},{""age"":""18-24"",""gender"":""male"",""percentage"":0.019554},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.004381},{""age"":""35-44"",""gender"":""male"",""percentage"":0.172333},{""age"":""35-44"",""gender"":""female"",""percentage"":0.102556},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000568},{""age"":""25-34"",""gender"":""male"",""percentage"":0.174686},{""age"":""25-34"",""gender"":""female"",""percentage"":0.085436},{""age"":""18-24"",""gender"":""unknown"",""percentage"":8.1e-5},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000568}","{""region"":""Southern District"",""__umapi_query_id"":""zkv3a6qwepqpq6z1e037"",""percentage"":1}",facebook,"lower_bound: 50001, upper_bound: 100000",he
1866247900675117,143563882388180,"עיריית אשקלון",2025-12-15,2025-12-15,2025-12-16,"עיריית אשקלון","הכירו את העסק, והפעם “Kings Barber & Academy” ✂️👑

האחים אוריאל ונהוראי פתחו לפני שנתיים מספרת גברים שמביאה משהו חדש לאשקלון - איכות בלתי מתפשרת, שירות מיוחד ויחס חם! 💈

המספרה מציעה גם שירות הסרת שיער בלייזר לגברים ונשים עם הטכנולוגיות המתקדמות ביותר, כך שכל אחד יוכל להרגיש הכי טוב שאפשר ✨

שירות מיוחד נוסף שמציעים במקום הינו אקדמיה לספרים מתחילים, כך תוכלו לפגוש גם את הדור הבא של ספרי אשקלון 📚

אז אם אתם רוצים תספורת מגניבה עם אווירה מיוחדת? אתם כבר יודעים לאיפה ללכת!  

📍 כתובת: הרצל 109, אשקלון
📲 להזמנת תורים > https://did.li/qVGx5","הכר את העסק - קינגס ברבר אקדמי",,,"lower_bound: 0, upper_bound: 999","lower_bound: 0, upper_bound: 99",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""m3gjlve48gqkwmv8dxdv"",""percentage"":0.004396},{""age"":""18-24"",""gender"":""male"",""percentage"":0.010989},{""age"":""25-34"",""gender"":""female"",""percentage"":0.046154},{""age"":""25-34"",""gender"":""male"",""percentage"":0.112088},{""age"":""35-44"",""gender"":""female"",""percentage"":0.068132},{""age"":""35-44"",""gender"":""male"",""percentage"":0.173626},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002198},{""age"":""45-54"",""gender"":""female"",""percentage"":0.07033},{""age"":""45-54"",""gender"":""male"",""percentage"":0.101099},{""age"":""55-64"",""gender"":""female"",""percentage"":0.09011},{""age"":""55-64"",""gender"":""male"",""percentage"":0.076923},{""age"":""65+"",""gender"":""female"",""percentage"":0.167033},{""age"":""65+"",""gender"":""male"",""percentage"":0.076923}","{""region"":""Central District"",""__umapi_query_id"":""54iz7r9nwsswkqxtahw6"",""percentage"":0.305495},{""region"":""Gaza Strip"",""percentage"":0.004396},{""region"":""Jerusalem"",""percentage"":0.024176},{""region"":""Southern District"",""percentage"":0.518681},{""region"":""Tel Aviv"",""percentage"":0.131868},{""region"":""West Bank"",""percentage"":0.015385}",facebook,"lower_bound: 1000001",he
755576500146326,143563882388180,"עיריית אשקלון",2025-12-15,2025-12-15,2025-12-22,"עיריית אשקלון","🌍 מתכננים טיול לתאילנד, מקסיקו, גואטמלה או הודו?
בואו לערב שיעשה לכם סדר וייתן את כל הכלים לטיול בטוח וחכם.

📅 יום שלישי | 23.12 | 18:00
📍 מרכז היזמות והחדשנות אשקלון | הרצל 40

בתוכנית:
🔹 ארגון ישראליז - ביטחון אישי והתנהלות נכונה בחו״ל
🔹 שמעון צוקרמן - טיפים למסלול מנצח וחיסכון בכסף

🎁 הגרלה על שובר 500 ₪ לריקושט
📸 עמדת צילום | 🍻 אוכל ודרינקים

📌 הכניסה חופשית | מספר המקומות מוגבל, להרשמה >
https://forms.gle/cRoNL3CwDdjDAGZP8",,,,"lower_bound: 20000, upper_bound: 24999","lower_bound: 100, upper_bound: 199",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""4fuculyk3rluk009i0kw"",""percentage"":0.049498},{""age"":""45-54"",""gender"":""male"",""percentage"":0.047652},{""age"":""65+"",""gender"":""male"",""percentage"":0.044998},{""age"":""65+"",""gender"":""female"",""percentage"":0.106842},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000692},{""age"":""55-64"",""gender"":""male"",""percentage"":0.033922},{""age"":""55-64"",""gender"":""female"",""percentage"":0.070151},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001385},{""age"":""45-54"",""gender"":""female"",""percentage"":0.071997},{""age"":""18-24"",""gender"":""male"",""percentage"":0.05469},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.003692},{""age"":""35-44"",""gender"":""male"",""percentage"":0.098881},{""age"":""35-44"",""gender"":""female"",""percentage"":0.11088},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000462},{""age"":""25-34"",""gender"":""male"",""percentage"":0.16084},{""age"":""25-34"",""gender"":""female"",""percentage"":0.142379},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000462},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000577}","{""region"":""Southern District"",""__umapi_query_id"":""k1j1skbis1ug255g677t"",""percentage"":1}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",he
873509601766399,143563882388180,"עיריית אשקלון",2025-12-09,2025-12-09,2025-12-12,"עיריית אשקלון","הכירו את העסק, והפעם הפייטן שלום ממן 🎵

זמר ופייטן המופיע בכל סוגי האירועים: שבתות חתן, עליות לתורה, הכנסות ספר תורה, הילולות ועוד! ✨

שלום, שהתחיל לשיר עוד כילד קטן מתמלא בהתרגשות בכל הופעה כשהוא בא לעשות לאנשים שמחה בלב! 💃🕺

רוצים לשדרג את השמחה שלכם בשירים שגדלנו עליהם? מוזמנים ליצור קשר עם שלום לאירועים בלתי נשכחים! 🎶

📞 טלפון: 050-8459328","הכר את העסק - הפייטן שלום ממן",,,"lower_bound: 20000, upper_bound: 24999","lower_bound: 100, upper_bound: 199",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""ppyo1p8clkkdybb0ivmq"",""percentage"":0.010281},{""age"":""45-54"",""gender"":""male"",""percentage"":0.094629},{""age"":""65+"",""gender"":""male"",""percentage"":0.062386},{""age"":""65+"",""gender"":""female"",""percentage"":0.091272},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000909},{""age"":""55-64"",""gender"":""male"",""percentage"":0.065534},{""age"":""55-64"",""gender"":""female"",""percentage"":0.072458},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001609},{""age"":""45-54"",""gender"":""female"",""percentage"":0.08092},{""age"":""18-24"",""gender"":""male"",""percentage"":0.013638},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.004196},{""age"":""35-44"",""gender"":""male"",""percentage"":0.165897},{""age"":""35-44"",""gender"":""female"",""percentage"":0.099594},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.00042},{""age"":""25-34"",""gender"":""male"",""percentage"":0.156595},{""age"":""25-34"",""gender"":""female"",""percentage"":0.079312},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.00035}","{""region"":""Southern District"",""__umapi_query_id"":""8c8h4dk73y1qfhamswvx"",""percentage"":1}",facebook,"lower_bound: 50001, upper_bound: 100000",he
859473910137961,143563882388180,"עיריית אשקלון",2025-12-07,2025-12-07,2025-12-10,"עיריית אשקלון","הכירו את העסק, והפעם “אבידור מדרסים, אביזרים ונעלי נוחות"" 👟

סובלים מאי נוחות, כאבים בגב או שחיקה? מדרסים הם לגמרי התשובה

מדרסים עוזרים ליצור איזון משקל בהנחת הרגל, להקל על הלחץ ולהעניק נוחות מרבית לכל סוגי הנעליים ✨

באבידור מכינים לכם את המדרסים בהתאמה אישית ומציעים לכם מגוון אביזרים אורתופדיים נוספים 🦶

העסק עובד בהסדר עם כל הגורמים במדינה ומעניק אחריות ל-3 שנים על המדרסים🏥

📞 טלפון: 08-6650114
📍 כתובת: ההסתדרות 1, בכניסה לבית החולים ברזילי, אשקלון","הכר את העסק - אבידור מדרסים",,,"lower_bound: 20000, upper_bound: 24999","lower_bound: 100, upper_bound: 199",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""p38zfo0y8hroi0c2qr8b"",""percentage"":0.009553},{""age"":""45-54"",""gender"":""male"",""percentage"":0.095535},{""age"":""65+"",""gender"":""male"",""percentage"":0.072897},{""age"":""65+"",""gender"":""female"",""percentage"":0.108342},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001038},{""age"":""55-64"",""gender"":""male"",""percentage"":0.071513},{""age"":""55-64"",""gender"":""female"",""percentage"":0.084181},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001523},{""age"":""45-54"",""gender"":""female"",""percentage"":0.08432},{""age"":""18-24"",""gender"":""male"",""percentage"":0.011423},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002769},{""age"":""35-44"",""gender"":""male"",""percentage"":0.154517},{""age"":""35-44"",""gender"":""female"",""percentage"":0.097196},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000969},{""age"":""25-34"",""gender"":""male"",""percentage"":0.127172},{""age"":""25-34"",""gender"":""female"",""percentage"":0.076497},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000554}","{""region"":""Southern District"",""__umapi_query_id"":""nuvhwwl94u3tetyc8gb4"",""percentage"":1}",facebook,"lower_bound: 50001, upper_bound: 100000",he
25691179580479395,143563882388180,"עיריית אשקלון",2025-12-04,2025-12-04,2025-12-12,"עיריית אשקלון","היוצרות של פרנקו טורנטיני והגרמני המשוגע נפגשות באשקלון - ואתן חייבות להיות שם! 🔥

שתי סופרות הענק: ליליאן סלמה נחום ודנה לוי אלגרוד מגיעות לספרייה העירונית מדיה-טק!

ערב של שיח פתוח עם כל הסודות מאחורי הקלעים של כתיבת הספרים הממכרים!

📌 ביום חמישי, 25.12 | 20:00
בספריית מדיה-טק אשקלון

 מה מחכה לכן בערב הבלתי נשכח הזה?
✨ הסודות שמאחורי הדמויות שכבשו את ישראל
✨ איך נולדת אהבה על הדף ומה באמת קורה מאחורי הקלעים
✨ שיחה חשופה על חלומות ויצירה נשית אמיתית

לרכישת כרטיסים > https://tickchak.co.il/94968?ref=nwc

צילום דנה לוי אלגרוד : רמי זרנגר
צילום לילאן סלמה נחום: דלית מחיתה",,,,"lower_bound: 35000, upper_bound: 39999","lower_bound: 400, upper_bound: 499",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""8q7t6onrex3789s22mu4"",""percentage"":0.028904},{""age"":""45-54"",""gender"":""male"",""percentage"":0.066878},{""age"":""65+"",""gender"":""male"",""percentage"":0.068621},{""age"":""65+"",""gender"":""female"",""percentage"":0.104494},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.00082},{""age"":""55-64"",""gender"":""male"",""percentage"":0.050582},{""age"":""55-64"",""gender"":""female"",""percentage"":0.061036},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001999},{""age"":""45-54"",""gender"":""female"",""percentage"":0.074719},{""age"":""18-24"",""gender"":""male"",""percentage"":0.023625},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.003587},{""age"":""35-44"",""gender"":""male"",""percentage"":0.12074},{""age"":""35-44"",""gender"":""female"",""percentage"":0.119254},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000922},{""age"":""25-34"",""gender"":""male"",""percentage"":0.14252},{""age"":""25-34"",""gender"":""female"",""percentage"":0.13058},{""age"":""18-24"",""gender"":""unknown"",""percentage"":5.1e-5},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000666}","{""region"":""Southern District"",""__umapi_query_id"":""lfuooj9t0tn9mv2zuyni"",""percentage"":1}",facebook,"lower_bound: 50001, upper_bound: 100000",he
1366701881660659,143563882388180,"עיריית אשקלון",2025-12-04,2025-12-04,2025-12-04,"עיריית אשקלון","היוצרות של פרנקו טורנטיני והגרמני המשוגע נפגשות באשקלון - ואתן חייבות להיות שם! 🔥

שתי סופרות הענק: ליליאן סלמה נחום ודנה לוי אלגרוד מגיעות לספרייה העירונית מדיה-טק!

ערב של שיח פתוח עם כל הסודות מאחורי הקלעים של כתיבת הספרים הממכרים!

📌 ביום חמישי, 25.12 | 20:00
בספריית מדיה-טק אשקלון

 מה מחכה לכן בערב הבלתי נשכח הזה?
✨ הסודות שמאחורי הדמויות שכבשו את ישראל
✨ איך נולדת אהבה על הדף ומה באמת קורה מאחורי הקלעים
✨ שיחה חשופה על חלומות ויצירה נשית אמיתית

לרכישת כרטיסים > https://tickchak.co.il/94968?ref=nwc

צילום דנה לוי אלגרוד : רמי זרנגר
צילום לילאן סלמה נחום: דלית מחיתה",,,,"lower_bound: 0, upper_bound: 999","lower_bound: 0, upper_bound: 99",ILS,,,facebook,"lower_bound: 1000001",he
