ad_archive_id,page_id,page_name,ad_creation_time,ad_delivery_start_time,ad_delivery_stop_time,byline,ad_creative_bodies,ad_creative_link_titles,ad_creative_link_captions,ad_creative_link_descriptions,impressions,spend,currency,demographic_distribution,delivery_by_region,publisher_platforms,estimated_audience_size,languages
735363382460073,429184557235927,"בצלאל סמוטריץ'",2025-12-24,2025-12-24,2025-12-26,"בצלאל סמוטריץ'","הבנקים ניצלו בשנים האחרונות את הריכוזיות ואת העדר התחרות במערכת הבנקאית, פעלו בחוסר אחריות ובחוסר התחשבות וגרפו רווחי עתק של עשרות מיליארדי שקלים רק בשל ריבית בנק ישראל הגבוהה. 

הם לקחו לנו ריביות גבוהות על האווברדרפט ועל אשראי והלוואות ונתנו לנו ריביות קמצניות על הכסף בבנק. במקום להחזיר לנו את הכסף הם בחרו להתעשר ולמלא את הכיסים של עצמם.

אני נחוש להחזיר את הכסף הזה לאזרחי ישראל!",,,,"lower_bound: 80000, upper_bound: 89999","lower_bound: 2000, upper_bound: 2499",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""flbkfjfm8u7hg79u72jj"",""percentage"":0.006033},{""age"":""45-54"",""gender"":""male"",""percentage"":0.136879},{""age"":""65+"",""gender"":""male"",""percentage"":0.081317},{""age"":""65+"",""gender"":""female"",""percentage"":0.075453},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001055},{""age"":""55-64"",""gender"":""male"",""percentage"":0.100808},{""age"":""55-64"",""gender"":""female"",""percentage"":0.057776},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002932},{""age"":""45-54"",""gender"":""female"",""percentage"":0.052693},{""age"":""18-24"",""gender"":""male"",""percentage"":0.030586},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.00327},{""age"":""35-44"",""gender"":""male"",""percentage"":0.175502},{""age"":""35-44"",""gender"":""female"",""percentage"":0.044234},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000633},{""age"":""25-34"",""gender"":""male"",""percentage"":0.193853},{""age"":""25-34"",""gender"":""female"",""percentage"":0.035522},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000169},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.001287}","{""region"":""Central District"",""__umapi_query_id"":""kwt05chr94i37dfzoorl"",""percentage"":0.310828},{""region"":""Heifa"",""percentage"":0.108137},{""region"":""Jerusalem"",""percentage"":0.123171},{""region"":""Northern District"",""percentage"":0.116611},{""region"":""Southern District"",""percentage"":0.174579},{""region"":""Tel Aviv"",""percentage"":0.166674}",facebook,"lower_bound: 100001, upper_bound: 500000",he
1191857542480827,429184557235927,"בצלאל סמוטריץ'",2025-12-24,2025-12-24,2025-12-26,"בצלאל סמוטריץ'","אזרחי ישראל,

חתמתי כעת על צו הפוטר ממס ייבוא אישי עד לסכום של 150 דולר, ואני מבקש להרחיב מעט על המשמעות של ההחלטה הזו.

המהלך הזה הוא חלק משורת צעדים רחבה ומשמעותית שאני מוביל במסגרת תקציב המדינה, שמטרתם אחת וברורה: להוריד את יוקר המחיה.

אנחנו עושים זאת ברפורמת החלב, בפתיחת שוק הפיקדונות לתחרות, ובצעדים נוספים – כולם נשענים על תפיסת עולם פשוטה:
יכול להיות כאן זול.

לצערי, המשק הישראלי נשלט במקרים רבים על ידי מספר מצומצם של מונופולים חזקים. אזרחים נכנסים לקניון וחושבים שהם פוגשים תחרות חופשית – אבל בפועל, בחלק גדול מהענפים, הם פוגשים שוק שנשלט בידי קומץ בעלי שליטה שמרשים לעצמם לעשוק את אזרחי ישראל.

עכשיו המונופולים האלה שמים בציניות את העסקים הקטנים בפרונט של המאבק שלהם נגדי, אבל האמת היא שהעסקים הקטנים והבינוניים הם הראשונים להיפגע מהדורסנות הזו של המונופולים.

אותם בעלי עסקים, חלקם הגדול מילואימניקים, שקמים כל בוקר ונאבקים במונופולים אדירים שלא מאפשרים תחרות הוגנת.

ומיד אחריהם, הנפגעים הבאים בתור הם כולנו – אזרחי ישראל.

אין שום סיבה שבגד של רשת בינלאומית יימכר כאן בעשרות אחוזים יותר מאשר בחו״ל.

אין שום הצדקה לכך שנעל שנמכרת בארצות הברית בחצי מחיר – תימכר כאן במחיר כפול.

אין סיבה שתשלמו יקר.

יכול להיות כאן זול.

אני מאמין שהצו עליו חתמתי היום יחייב את המונופולים להיכנס לתחרות אמיתית והוגנת על הלב שלכם ועל הכיס שלכם. להיות טובים יותר וזולים יותר ושירותיים יותר ותחרותיים יותר.

אני מאוד רוצה שתקנו בישראל אבל אני לא מוכן שתהיו לקוח שבוי. אני לא מוכן שהמונופולים ינצלו את העובדה שאתם לקוח שבוי כדי לקחת לכם מחירים מופקעים ולהתעשר על חשבונכם.

אני רוצה שיהיו לכם חלופות, שתוכלו להשוות ולהתמקח ולדרוש ולקבל מחירים טובים.

אני רוצה שתשלמו פחות. שכולנו נשלם פחות.

וכמו ברפורמת החלב, גם כאן נשמעים קולות שמתנגדים למהלכים שאני מקדם. יש עיתונאים וכלי תקשורת שאוכלים מידי המונופולים ומתפרנסים מהם ולכן משרתים אותם ומנסים לטרפד את הרפורמות שלי, לפגוע בכם אזרחי ישראל ולגרום לכך שתמשיכו לשלם ביוקר. 

אני לא מתכוון להיכנע להם.
אני לא נרתע ואני לא מתכוון לוותר.

יש מי שרוצה שתשלמו יקר – ואני נחוש שאתם תשלמו פחות.

כי יכול להיות כאן זול, ואני מתכוון להוכיח את זה. בעזרת השם.",,,,"lower_bound: 9000, upper_bound: 9999","lower_bound: 200, upper_bound: 299",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""8osyp9itmzflm9wlh94y"",""percentage"":0.003039},{""age"":""45-54"",""gender"":""male"",""percentage"":0.157887},{""age"":""65+"",""gender"":""male"",""percentage"":0.136324},{""age"":""65+"",""gender"":""female"",""percentage"":0.109117},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001158},{""age"":""55-64"",""gender"":""male"",""percentage"":0.132706},{""age"":""55-64"",""gender"":""female"",""percentage"":0.057308},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001881},{""age"":""45-54"",""gender"":""female"",""percentage"":0.034009},{""age"":""18-24"",""gender"":""male"",""percentage"":0.032417},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002894},{""age"":""35-44"",""gender"":""male"",""percentage"":0.145586},{""age"":""35-44"",""gender"":""female"",""percentage"":0.017077},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000579},{""age"":""25-34"",""gender"":""male"",""percentage"":0.150217},{""age"":""25-34"",""gender"":""female"",""percentage"":0.01563},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.002171}","{""region"":""Central District"",""__umapi_query_id"":""q3veznvezgwoeqob6dqg"",""percentage"":0.280692},{""region"":""Heifa"",""percentage"":0.122185},{""region"":""Jerusalem"",""percentage"":0.115938},{""region"":""Northern District"",""percentage"":0.158506},{""region"":""Southern District"",""percentage"":0.154584},{""region"":""Tel Aviv"",""percentage"":0.168095}",facebook,"lower_bound: 100001, upper_bound: 500000",he
906879335338167,429184557235927,"בצלאל סמוטריץ'",2025-12-24,2025-12-24,2025-12-26,"בצלאל סמוטריץ'","הקבינט אישר את ההצעה שהעלתי יחד עם ידידי שר הביטחון ישראל כ""ץ להכריז ולהסדיר 19 יישובים חדשים!

ממשיכים לעשות היסטוריה בהתיישבות ובמדינת ישראל. 

ב""ה אחרי עשרים שנה אנחנו מתקנים עוול כואב ומחזירים את גנים וכדים למפת ההתיישבות, לצד עוד יישובים חשובים בכל רחבי יהודה ושומרון. 

בתוך שלוש שנים הסדַרנו 69 יישובים חדשים – שיא שלא היה כמוהו. עם ישראל חוזר לארצו, בונה אותה ומחזק את אחיזתו בה. זו ציונות פשוטה, נכונה ומוסרית. 

אנחנו בולמים בשטח הקמת מדינת טרור פלסטינית. נמשיך לפתח, לבנות ולהתיישב בארץ נחלת אבותינו מתוך אמונה בצדקת הדרך.",,,,"lower_bound: 125000, upper_bound: 149999","lower_bound: 2000, upper_bound: 2499",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""x4trkxc60nvnjaqagpf9"",""percentage"":0.010263},{""age"":""45-54"",""gender"":""male"",""percentage"":0.098362},{""age"":""65+"",""gender"":""male"",""percentage"":0.042617},{""age"":""65+"",""gender"":""female"",""percentage"":0.033024},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000608},{""age"":""55-64"",""gender"":""male"",""percentage"":0.050304},{""age"":""55-64"",""gender"":""female"",""percentage"":0.020773},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002329},{""age"":""45-54"",""gender"":""female"",""percentage"":0.019784},{""age"":""18-24"",""gender"":""male"",""percentage"":0.076218},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.005121},{""age"":""35-44"",""gender"":""male"",""percentage"":0.221484},{""age"":""35-44"",""gender"":""female"",""percentage"":0.02815},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001597},{""age"":""25-34"",""gender"":""male"",""percentage"":0.349665},{""age"":""25-34"",""gender"":""female"",""percentage"":0.038918},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000247},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000536}","{""region"":""Central District"",""__umapi_query_id"":""30pldz1y4fsesvutc77o"",""percentage"":0.286623},{""region"":""Heifa"",""percentage"":0.09601},{""region"":""Jerusalem"",""percentage"":0.171723},{""region"":""Northern District"",""percentage"":0.148011},{""region"":""Southern District"",""percentage"":0.16631},{""region"":""Tel Aviv"",""percentage"":0.131313},{""region"":""Unknown"",""percentage"":1.0e-5}",facebook,"lower_bound: 100001, upper_bound: 500000",he
3904756049824913,429184557235927,"בצלאל סמוטריץ'",2025-12-21,2025-12-21,2025-12-23,"בצלאל סמוטריץ'","הקבינט אישר את ההצעה שהעלתי יחד עם ידידי שר הביטחון ישראל כ""ץ להכריז ולהסדיר 19 יישובים חדשים!

ממשיכים לעשות היסטוריה בהתיישבות ובמדינת ישראל. 

ב""ה אחרי עשרים שנה אנחנו מתקנים עוול כואב ומחזירים את גנים וכדים למפת ההתיישבות, לצד עוד יישובים חשובים בכל רחבי יהודה ושומרון. 

בתוך שלוש שנים הסדַרנו 69 יישובים חדשים – שיא שלא היה כמוהו. עם ישראל חוזר לארצו, בונה אותה ומחזק את אחיזתו בה. זו ציונות פשוטה, נכונה ומוסרית. 

אנחנו בולמים בשטח הקמת מדינת טרור פלסטינית. נמשיך לפתח, לבנות ולהתיישב בארץ נחלת אבותינו מתוך אמונה בצדקת הדרך.",,,,"lower_bound: 50000, upper_bound: 59999","lower_bound: 400, upper_bound: 499",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""ak4ik0y8oxfq1q62ggdk"",""percentage"":0.009103},{""age"":""45-54"",""gender"":""male"",""percentage"":0.080301},{""age"":""65+"",""gender"":""male"",""percentage"":0.033211},{""age"":""65+"",""gender"":""female"",""percentage"":0.022309},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.00045},{""age"":""55-64"",""gender"":""male"",""percentage"":0.044253},{""age"":""55-64"",""gender"":""female"",""percentage"":0.018797},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001882},{""age"":""45-54"",""gender"":""female"",""percentage"":0.016746},{""age"":""18-24"",""gender"":""male"",""percentage"":0.094799},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.00472},{""age"":""35-44"",""gender"":""male"",""percentage"":0.214605},{""age"":""35-44"",""gender"":""female"",""percentage"":0.019162},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001517},{""age"":""25-34"",""gender"":""male"",""percentage"":0.410441},{""age"":""25-34"",""gender"":""female"",""percentage"":0.026833},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000281},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.00059}","{""region"":""Central District"",""__umapi_query_id"":""4qiew8xudky6w4qyp7cm"",""percentage"":0.29874},{""region"":""Heifa"",""percentage"":0.095568},{""region"":""Jerusalem"",""percentage"":0.178168},{""region"":""Northern District"",""percentage"":0.138893},{""region"":""Southern District"",""percentage"":0.160923},{""region"":""Tel Aviv"",""percentage"":0.127708}",facebook,"lower_bound: 100001, upper_bound: 500000",he
878206398715806,429184557235927,"בצלאל סמוטריץ'",2025-12-21,2025-12-21,2025-12-24,"בצלאל סמוטריץ'","מתקנים את חוק לזימי:
מורידים את מחירי החניונים",,,,"lower_bound: 150000, upper_bound: 174999","lower_bound: 2000, upper_bound: 2499",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""99pohbdi0dldrggsmmg3"",""percentage"":0.004565},{""age"":""45-54"",""gender"":""male"",""percentage"":0.151175},{""age"":""65+"",""gender"":""male"",""percentage"":0.147982},{""age"":""65+"",""gender"":""female"",""percentage"":0.091443},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001055},{""age"":""55-64"",""gender"":""male"",""percentage"":0.128048},{""age"":""55-64"",""gender"":""female"",""percentage"":0.039688},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002792},{""age"":""45-54"",""gender"":""female"",""percentage"":0.029184},{""age"":""18-24"",""gender"":""male"",""percentage"":0.028383},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.003692},{""age"":""35-44"",""gender"":""male"",""percentage"":0.167344},{""age"":""35-44"",""gender"":""female"",""percentage"":0.024782},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000737},{""age"":""25-34"",""gender"":""male"",""percentage"":0.157868},{""age"":""25-34"",""gender"":""female"",""percentage"":0.019898},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000173},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.001191}","{""region"":""Central District"",""__umapi_query_id"":""3if4hkk76e06m91klyog"",""percentage"":0.268082},{""region"":""Heifa"",""percentage"":0.111262},{""region"":""Jerusalem"",""percentage"":0.154591},{""region"":""Northern District"",""percentage"":0.179404},{""region"":""Southern District"",""percentage"":0.160824},{""region"":""Tel Aviv"",""percentage"":0.125811},{""region"":""Unknown"",""percentage"":2.7e-5}",facebook,"lower_bound: 100001, upper_bound: 500000",he
4282954868602483,429184557235927,"בצלאל סמוטריץ'",2025-12-16,2025-12-16,2025-12-19,"בצלאל סמוטריץ'","חתמנו היום על הסכם גג חדש לדימונה! 

ההסכם כולל כ־17,000 יחידות דיור חדשות ופיתוח תשתיות מקיף בהיקף של מיליארדי ש״ח.

במסגרת ההסכם החדש יושקעו משאבים בהיקף של מיליארדי שקלים לפיתוח העיר:
- כ־3.5 מיליארד ש""ח לפיתוח תשתיות בשכונות החדשות.
- כ־760 מיליון ש""ח לתשתיות על ושדרוג מערכות קיימות.
- כ־700 מיליון ש""ח להקמת מוסדות ציבור חדשים ושדרוג מוסדות קיימים.
- כ־330 מיליון ש""ח לשדרוג נרחב של תשתיות העיר הוותיקה במסגרת מתווה ""ישן מול חדש"".

הסכם הגג הזה הוא ציונות במובן העמוק והמעשי ביותר שלה. אנחנו מחזקים את הנגב ובונים עתיד למדינת ישראל מחוץ לגוש דן. אנחנו לא מדברים בסיסמאות אלא בבנייה, בתשתיות, בתעסוקה ובקהילה. דימונה הפכה בשנים האחרונות לעוגן לאומי של צמיחה והיום, עם ההשקעה האדירה שאנחנו מביאים לעיר הזו, היא תגיע לפסגות חדשות. 

דימונה זכתה במנהיגות יוצאת מן הכלל בהובלת ראש העיר בני ביטון. אני מלא אמון בראש העיר, בתושבי העיר ובחזון של נגב חזק, מחובר ומוביל את מדינת ישראל קדימה.",,,,"lower_bound: 40000, upper_bound: 44999","lower_bound: 900, upper_bound: 999",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""42gj7eke3tnvmkmnfnsh"",""percentage"":0.047971},{""age"":""45-54"",""gender"":""male"",""percentage"":0.079004},{""age"":""65+"",""gender"":""male"",""percentage"":0.038706},{""age"":""65+"",""gender"":""female"",""percentage"":0.048255},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000341},{""age"":""55-64"",""gender"":""male"",""percentage"":0.048141},{""age"":""55-64"",""gender"":""female"",""percentage"":0.044845},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001535},{""age"":""45-54"",""gender"":""female"",""percentage"":0.053882},{""age"":""18-24"",""gender"":""male"",""percentage"":0.082869},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002671},{""age"":""35-44"",""gender"":""male"",""percentage"":0.141241},{""age"":""35-44"",""gender"":""female"",""percentage"":0.067182},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001364},{""age"":""25-34"",""gender"":""male"",""percentage"":0.242242},{""age"":""25-34"",""gender"":""female"",""percentage"":0.099011},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000512},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000227}","{""region"":""Southern District"",""__umapi_query_id"":""maw4yx54yynsvwmkxfuv"",""percentage"":1}","facebook,instagram","lower_bound: 10001, upper_bound: 50000",he
1797730987437168,429184557235927,"בצלאל סמוטריץ'",2025-12-16,2025-12-16,2025-12-19,"בצלאל סמוטריץ'","אנחנו נתקן את חוק החניונים הטיפשי ונדאג שהמחיר יהיה שפוי!

נפגשתי לפני זמן קצר עם נציגות של בעלי חניונים מרחבי הארץ וסיכמתי איתם כי יחד עם שרת התחבורה מירי רגב תוגש הצעת חוק ממשלתית לביטול חוק לזימי, בתמורה להתחייבות להשיב את מחירי החניה לקדמותם עם אישור החוק. דרשתי את ההתחייבות כתנאי לתיקון החוק.

בין הרשתות שהתחייבו: סנטרל פארק, יאיר השחר, ימית חניונים, גזית גלוב G-city, חניוני אביב, מליסרון, אחוזות החוף, גרין פרקינג, שפיר, Jtlv, u park וחניונים גדולים נוספים. אני מעריך שרשתות נוספות יצטרפו למהלך בימים הקרובים.

בנוסף, רשת סנטרל פארק המונה כ-18,000 מקומות חניה הודיעה כי תוריד את המחירים כבר במהלך היממה הקרובה בעשרות החניונים שבבעלותה כצעד בונה אמון לקראת תיקון החוק. 

אני קורא ליתר בעלי החניונים לפעול באותה הדרך בכדי לא לפגוע באזרחי ישראל.

יכול להיות כאן זול!",,,,"lower_bound: 100000, upper_bound: 124999","lower_bound: 1000, upper_bound: 1499",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""40x455mmpjrbro8rvvsy"",""percentage"":0.002615},{""age"":""45-54"",""gender"":""male"",""percentage"":0.177076},{""age"":""65+"",""gender"":""male"",""percentage"":0.132524},{""age"":""65+"",""gender"":""female"",""percentage"":0.05295},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000984},{""age"":""55-64"",""gender"":""male"",""percentage"":0.149616},{""age"":""55-64"",""gender"":""female"",""percentage"":0.025504},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002009},{""age"":""45-54"",""gender"":""female"",""percentage"":0.017875},{""age"":""18-24"",""gender"":""male"",""percentage"":0.023226},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.003168},{""age"":""35-44"",""gender"":""male"",""percentage"":0.209091},{""age"":""35-44"",""gender"":""female"",""percentage"":0.015408},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000849},{""age"":""25-34"",""gender"":""male"",""percentage"":0.172681},{""age"":""25-34"",""gender"":""female"",""percentage"":0.013386},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000135},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000903}","{""region"":""Central District"",""__umapi_query_id"":""oqj6cro70yx0o9f7r1gl"",""percentage"":0.222024},{""region"":""Heifa"",""percentage"":0.121918},{""region"":""Jerusalem"",""percentage"":0.133105},{""region"":""Northern District"",""percentage"":0.269263},{""region"":""Southern District"",""percentage"":0.149078},{""region"":""Tel Aviv"",""percentage"":0.104599},{""region"":""Unknown"",""percentage"":1.3e-5}",facebook,"lower_bound: 100001, upper_bound: 500000",he
865599973311836,429184557235927,"בצלאל סמוטריץ'",2025-12-16,2025-12-16,2025-12-18,"בצלאל סמוטריץ'","אצל איווט ליברמן כשר אוצר בממשלת האחים המוסלמים מחירי הדיור עלו ב 20% בשנה אחת!

אצלנו, לראשונה זה 17 שנה ובעקבות המדיניות הנכונה שלנו, מחירי הדיור יורדים בעקביות ובעזרת השם הם עוד ימשיכו לרדת.

וגם את מחירי המזון אני נחוש להוריד. נתחיל בעזרת השם ברפורמת החלב ונמשיך לכל השאר.

יכול להיות כאן זול!",,,,"lower_bound: 100000, upper_bound: 124999","lower_bound: 2000, upper_bound: 2499",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""t6ssasetj2aasmncjc7f"",""percentage"":0.004603},{""age"":""45-54"",""gender"":""male"",""percentage"":0.128071},{""age"":""65+"",""gender"":""male"",""percentage"":0.078024},{""age"":""65+"",""gender"":""female"",""percentage"":0.04837},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001231},{""age"":""55-64"",""gender"":""male"",""percentage"":0.088551},{""age"":""55-64"",""gender"":""female"",""percentage"":0.035988},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.003301},{""age"":""45-54"",""gender"":""female"",""percentage"":0.034221},{""age"":""18-24"",""gender"":""male"",""percentage"":0.04457},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.00455},{""age"":""35-44"",""gender"":""male"",""percentage"":0.20738},{""age"":""35-44"",""gender"":""female"",""percentage"":0.026496},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001124},{""age"":""25-34"",""gender"":""male"",""percentage"":0.269631},{""age"":""25-34"",""gender"":""female"",""percentage"":0.02241},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000178},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.001302}","{""region"":""Central District"",""__umapi_query_id"":""tkfkc4f3soew9mv499u0"",""percentage"":0.313515},{""region"":""Heifa"",""percentage"":0.10824},{""region"":""Jerusalem"",""percentage"":0.127981},{""region"":""Northern District"",""percentage"":0.112077},{""region"":""Southern District"",""percentage"":0.156238},{""region"":""Tel Aviv"",""percentage"":0.181949}",facebook,"lower_bound: 100001, upper_bound: 500000",he
909039821695808,429184557235927,"בצלאל סמוטריץ'",2025-12-15,2025-12-16,2025-12-18,"בצלאל סמוטריץ'","מתקנים את חוק לזימי:
מורידים את מחירי החניונים",,,,"lower_bound: 50000, upper_bound: 59999","lower_bound: 500, upper_bound: 599",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""gundg5b5ndz3lhl2nmj4"",""percentage"":0.029179},{""age"":""45-54"",""gender"":""male"",""percentage"":0.057558},{""age"":""65+"",""gender"":""male"",""percentage"":0.029734},{""age"":""65+"",""gender"":""female"",""percentage"":0.007084},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000355},{""age"":""55-64"",""gender"":""male"",""percentage"":0.037639},{""age"":""55-64"",""gender"":""female"",""percentage"":0.00513},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001155},{""age"":""45-54"",""gender"":""female"",""percentage"":0.004796},{""age"":""18-24"",""gender"":""male"",""percentage"":0.322075},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001665},{""age"":""35-44"",""gender"":""male"",""percentage"":0.115715},{""age"":""35-44"",""gender"":""female"",""percentage"":0.006617},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.00191},{""age"":""25-34"",""gender"":""male"",""percentage"":0.358559},{""age"":""25-34"",""gender"":""female"",""percentage"":0.016943},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.00362},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000266}","{""region"":""Central District"",""__umapi_query_id"":""6pbid2yktu1cw5qvd9n0"",""percentage"":0.28058},{""region"":""Heifa"",""percentage"":0.113928},{""region"":""Jerusalem"",""percentage"":0.129761},{""region"":""Northern District"",""percentage"":0.136818},{""region"":""Southern District"",""percentage"":0.18495},{""region"":""Tel Aviv"",""percentage"":0.153895},{""region"":""Unknown"",""percentage"":6.8e-5}",instagram,"lower_bound: 100001, upper_bound: 500000",he
2946014062270003,429184557235927,"בצלאל סמוטריץ'",2025-12-15,2025-12-16,2025-12-18,"בצלאל סמוטריץ'","מתקנים את חוק לזימי:
מורידים את מחירי החניונים",,,,"lower_bound: 60000, upper_bound: 69999","lower_bound: 800, upper_bound: 899",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""dssvgswzy41ud6jlzicd"",""percentage"":0.004459},{""age"":""45-54"",""gender"":""male"",""percentage"":0.159055},{""age"":""65+"",""gender"":""male"",""percentage"":0.095615},{""age"":""65+"",""gender"":""female"",""percentage"":0.023273},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000858},{""age"":""55-64"",""gender"":""male"",""percentage"":0.112559},{""age"":""55-64"",""gender"":""female"",""percentage"":0.01264},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002658},{""age"":""45-54"",""gender"":""female"",""percentage"":0.011337},{""age"":""18-24"",""gender"":""male"",""percentage"":0.04984},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.004819},{""age"":""35-44"",""gender"":""male"",""percentage"":0.233625},{""age"":""35-44"",""gender"":""female"",""percentage"":0.012074},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001115},{""age"":""25-34"",""gender"":""male"",""percentage"":0.262027},{""age"":""25-34"",""gender"":""female"",""percentage"":0.013206},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000206},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000635}","{""region"":""Central District"",""__umapi_query_id"":""2hue5ebew5nh8gimwuaj"",""percentage"":0.26285},{""region"":""Heifa"",""percentage"":0.108223},{""region"":""Jerusalem"",""percentage"":0.147737},{""region"":""Northern District"",""percentage"":0.190333},{""region"":""Southern District"",""percentage"":0.156745},{""region"":""Tel Aviv"",""percentage"":0.134112}",facebook,"lower_bound: 100001, upper_bound: 500000",
2205980756558571,429184557235927,"בצלאל סמוטריץ'",2025-12-07,2025-12-07,2025-12-08,"בצלאל סמוטריץ'","יכול להיות כאן זול!",,,,"lower_bound: 20000, upper_bound: 24999","lower_bound: 200, upper_bound: 299",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""wslg4frgtyab3f2acne4"",""percentage"":0.03312},{""age"":""45-54"",""gender"":""male"",""percentage"":0.042998},{""age"":""65+"",""gender"":""male"",""percentage"":0.024079},{""age"":""65+"",""gender"":""female"",""percentage"":0.009681},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000246},{""age"":""55-64"",""gender"":""male"",""percentage"":0.028256},{""age"":""55-64"",""gender"":""female"",""percentage"":0.004963},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.00059},{""age"":""45-54"",""gender"":""female"",""percentage"":0.004865},{""age"":""18-24"",""gender"":""male"",""percentage"":0.405356},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001769},{""age"":""35-44"",""gender"":""male"",""percentage"":0.099312},{""age"":""35-44"",""gender"":""female"",""percentage"":0.005651},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001818},{""age"":""25-34"",""gender"":""male"",""percentage"":0.319853},{""age"":""25-34"",""gender"":""female"",""percentage"":0.012629},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.00457},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000246}","{""region"":""Central District"",""__umapi_query_id"":""c9x9gr03uly41uxrk3ez"",""percentage"":0.275537},{""region"":""Heifa"",""percentage"":0.125748},{""region"":""Jerusalem"",""percentage"":0.115003},{""region"":""Northern District"",""percentage"":0.147827},{""region"":""Southern District"",""percentage"":0.196104},{""region"":""Tel Aviv"",""percentage"":0.13978}",instagram,"lower_bound: 100001, upper_bound: 500000",he
