ad_archive_id,page_id,page_name,ad_creation_time,ad_delivery_start_time,ad_delivery_stop_time,byline,ad_creative_bodies,ad_creative_link_titles,ad_creative_link_captions,ad_creative_link_descriptions,impressions,spend,currency,demographic_distribution,delivery_by_region,publisher_platforms,estimated_audience_size,languages
449995826486007,453662681675220,"הברית הישראלית",2022-06-26,2022-06-27,2022-06-28,"הברית הישראלית","״חיילים רבים מחפשים את התחבושת הישראלית״ 
כך נאמר לנו בפניה של אחד ממפקדי אוגדות המתנדבים באוקראינה. התחבושת האישית המוכרת לכל חייל וחיילת ששירתו בצה״ל הפכה למצרך נדיר עבור הלוחמים בחזית האוקראינית. ברוב המקרים זוהי דרך הטיפול הראשונה והקריטית במקרי פציעות שיכולה להציל חיים. 

אנחנו חייבים להתגייס ולהראות אחוות לוחמים עם החיילים באוקרינה. 🇺🇦❤️🇮🇱
הצטרפו אלינו למבצא גיוס תחבושות אישיות. 

תרמו עכשיו ⬇️",,,,"lower_bound: 2000, upper_bound: 2999","lower_bound: 100, upper_bound: 199",ILS,"{""age"":""35-44"",""gender"":""female"",""percentage"":0.011384},{""age"":""45-54"",""gender"":""male"",""percentage"":0.058718},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001797},{""age"":""25-34"",""gender"":""female"",""percentage"":0.010785},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001198},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001797},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.001198},{""age"":""25-34"",""gender"":""male"",""percentage"":0.038346},{""age"":""45-54"",""gender"":""female"",""percentage"":0.033553},{""age"":""18-24"",""gender"":""female"",""percentage"":0.005392},{""age"":""55-64"",""gender"":""male"",""percentage"":0.091672},{""age"":""65+"",""gender"":""male"",""percentage"":0.238466},{""age"":""65+"",""gender"":""female"",""percentage"":0.330737},{""age"":""55-64"",""gender"":""female"",""percentage"":0.090473},{""age"":""18-24"",""gender"":""male"",""percentage"":0.029359},{""age"":""35-44"",""gender"":""male"",""percentage"":0.045536},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.007789},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001797}","{""region"":""Southern District"",""percentage"":0.103943},{""region"":""Central District"",""percentage"":0.258662},{""region"":""Northern District"",""percentage"":0.134409},{""region"":""Heifa"",""percentage"":0.161888},{""region"":""Tel Aviv"",""percentage"":0.265233},{""region"":""Jerusalem"",""percentage"":0.075866}",facebook,"lower_bound: 100001, upper_bound: 500000",he
1019217422344938,453662681675220,"הברית הישראלית",2022-03-21,2022-03-22,2022-03-22,"הברית הישראלית","הכירו את סבטלנה פלטונובה, אם חד הורית לנסטיה בת ה-11, ילדה בעלת צרכים מיוחדים. שתיהן פליטות מאוקראינה שרוצות להגיע לישראל לקבל מקלט.

חברי הכנסת, ביום רביעי כשתדונו בוועדת הפנים על מדיניות כניסת הפליטים לישראל תסתכלו להן בעיניים. 
לפליטים ולפליטות יש שמות, יש פנים, ויש משפחות. 

פתחו את גדר התיל- 
תנו לפליטי המלחמה מקלט בישראל!

#לפליטים_יש_פנים
שתפו עכשיו!

@[100044177901909:2048:Sami Abou Shahadeh - سامي أبو شحادة] @[100057732056363:2048:Israel Eichler - ישראל אייכלר] 
@[100058051809797:2048:זאב בנימין בגין] @[100057946513419:2048:איתן גינזבורג - Eitan Ginzburg] @[100058184554511:2048:יוראי להב הרצנו - Yorai Lahav Hertzanu] @[100070090540939:2048:Limor Magen-Telem לימור מגן-תלם] @[100057881416479:2048:שירלי פינטו - Shirly Pinto] @[100044485747221:2048:מוסי רז Mossi Raz موسي راز] @[100044730471982:2048:מירב בן ארי - Merav Ben Ari] @[100063511609045:2048:יסמין סאקס פרידמן - Yasmin Sacks Fridman]","לפליטים יש פנים | סיפורה של סבטלנה פלטונובה",,,"lower_bound: 2000, upper_bound: 2999","lower_bound: 0, upper_bound: 99",ILS,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.01125},{""age"":""65+"",""gender"":""male"",""percentage"":0.085},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.002083},{""age"":""18-24"",""gender"":""male"",""percentage"":0.034167},{""age"":""45-54"",""gender"":""male"",""percentage"":0.067083},{""age"":""25-34"",""gender"":""female"",""percentage"":0.0725},{""age"":""35-44"",""gender"":""female"",""percentage"":0.078333},{""age"":""25-34"",""gender"":""male"",""percentage"":0.1575},{""age"":""35-44"",""gender"":""male"",""percentage"":0.095833},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.003333},{""age"":""55-64"",""gender"":""female"",""percentage"":0.096667},{""age"":""65+"",""gender"":""female"",""percentage"":0.142083},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001667},{""age"":""45-54"",""gender"":""female"",""percentage"":0.074167},{""age"":""55-64"",""gender"":""male"",""percentage"":0.06625},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.008333},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.003333},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000417}","{""region"":""Southern District"",""percentage"":0.102244},{""region"":""Central District"",""percentage"":0.251039},{""region"":""Northern District"",""percentage"":0.113466},{""region"":""Heifa"",""percentage"":0.127598},{""region"":""Tel Aviv"",""percentage"":0.28803},{""region"":""Jerusalem"",""percentage"":0.117623}",facebook,"lower_bound: 50001, upper_bound: 100000",he
1225588507847485,453662681675220,"הברית הישראלית",2022-03-21,2022-03-22,2022-03-22,"הברית הישראלית","ביום רביעי הקרוב וועדת הפנים של הכנסת תדון בתנאי הכניסה של הפליטים מאוקראינה לישראל, בדיון שיזמה ח״כ @[100057659186558:2048:Gaby Lasky גבי לסקי]. 

חברי הכנסת אל תסתתרו מאחורי החוקים היבשים והביורוקרטיה. לפליטים ולפליטות שעליהם תדונו יש שמות, יש פנים, וחשוב שתסתכלו להם בעיניים.

פתחו את גדר התיל- 
תנו לפליטי המלחמה מקלט בישראל!

#לפליטים_יש_פנים
שתפו עכשיו!

@[100044177901909:2048:Sami Abou Shahadeh - سامي أبو شحادة] @[100057732056363:2048:Israel Eichler - ישראל אייכלר] @[100058051809797:2048:זאב בנימין בגין] @[100057946513419:2048:איתן גינזבורג - Eitan Ginzburg] @[100058184554511:2048:יוראי להב הרצנו - Yorai Lahav Hertzanu] @[100070090540939:2048:Limor Magen-Telem לימור מגן-תלם] @[100057881416479:2048:שירלי פינטו - Shirly Pinto] @[100044485747221:2048:מוסי רז Mossi Raz موسي راز] @[100044730471982:2048:מירב בן ארי - Merav Ben Ari] @[100063511609045:2048:יסמין סאקס פרידמן - Yasmin Sacks Fridman]","לפליטים יש פנים | סיפורה של ויקטוריה",,,"lower_bound: 0, upper_bound: 999","lower_bound: 0, upper_bound: 99",ILS,"{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.00625},{""age"":""45-54"",""gender"":""female"",""percentage"":0.0375},{""age"":""65+"",""gender"":""female"",""percentage"":0.0875},{""age"":""45-54"",""gender"":""male"",""percentage"":0.1375},{""age"":""25-34"",""gender"":""male"",""percentage"":0.0875},{""age"":""65+"",""gender"":""male"",""percentage"":0.26875},{""age"":""55-64"",""gender"":""male"",""percentage"":0.175},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.0125},{""age"":""35-44"",""gender"":""male"",""percentage"":0.1},{""age"":""55-64"",""gender"":""female"",""percentage"":0.05},{""age"":""18-24"",""gender"":""male"",""percentage"":0.0375}","{""region"":""Southern District"",""percentage"":0.18125},{""region"":""Central District"",""percentage"":0.25},{""region"":""Northern District"",""percentage"":0.1},{""region"":""Heifa"",""percentage"":0.125},{""region"":""Tel Aviv"",""percentage"":0.2375},{""region"":""Jerusalem"",""percentage"":0.10625}",facebook,"lower_bound: 50001, upper_bound: 100000",he
339331181476817,453662681675220,"הברית הישראלית",2022-03-06,2022-03-06,2022-03-08,"הברית הישראלית","״מול התמונות של מליוני פליטים זה המינימום שאנחנו יכולים לעשות""
יורם צלנר, ממושב חרות, לא נשאר אדיש להחלטה של מדינת ישראל לדרוש ערבות בסך 10,000 ש״ח מהפליטים מאוקראינה והוא החליט לעשות מעשה ולהציע ערבות אישית עבור פליט. 

התמונות הקשות מאוקראינה והמדיניות הנוקשה של מדינת ישראל לא מאפשרות לנו לשבת בשקט, 
הן מחייבת אותנו להתגייס ולהבטיח את כניסתם לארץ!

היינו פליטים ואנחנו לא נעמוד מנגד! 🇮🇱🇺🇦
יכולים לתת ערבות אישית מלאה עבור פליט?
יכולים לתרום סכום סימלי שייעזור לנו לגייס את הערבות הנדרשת?

הצטרפו אלינו 
(לינק בתגובה הראשונה⬇️)",,,,"lower_bound: 4000, upper_bound: 4999","lower_bound: 400, upper_bound: 499",ILS,"{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001667},{""age"":""45-54"",""gender"":""female"",""percentage"":0.09875},{""age"":""65+"",""gender"":""male"",""percentage"":0.09125},{""age"":""65+"",""gender"":""female"",""percentage"":0.18875},{""age"":""55-64"",""gender"":""female"",""percentage"":0.130417},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.010833},{""age"":""45-54"",""gender"":""male"",""percentage"":0.090833},{""age"":""25-34"",""gender"":""female"",""percentage"":0.027083},{""age"":""25-34"",""gender"":""male"",""percentage"":0.089583},{""age"":""18-24"",""gender"":""female"",""percentage"":0.002083},{""age"":""55-64"",""gender"":""male"",""percentage"":0.082083},{""age"":""35-44"",""gender"":""male"",""percentage"":0.083333},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.006667},{""age"":""18-24"",""gender"":""male"",""percentage"":0.006667},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.003333},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.009167},{""age"":""35-44"",""gender"":""female"",""percentage"":0.0775}","{""region"":""Southern District"",""percentage"":0.07821},{""region"":""Central District"",""percentage"":0.284818},{""region"":""Northern District"",""percentage"":0.117524},{""region"":""Heifa"",""percentage"":0.125052},{""region"":""Tel Aviv"",""percentage"":0.291092},{""region"":""Jerusalem"",""percentage"":0.103304}",facebook,"lower_bound: 100001, upper_bound: 500000",he
327289725884210,453662681675220,"הברית הישראלית",2022-03-04,2022-03-04,2022-03-06,"הברית הישראלית","הפליטים שמגיעים לארץ מאוקראינה נדרשים לשלם 10,000 שקלים ערבות לאדם כדי שיוכלו לקבל מקלט זמני במדינת ישראל.

מול המדיניות הנוקשה הזו אנחנו חייבים להתגייס כדי להבטיח את כניסתם לארץ!

יכולים לתת ערבות אישית מלאה לפליט? 
יכולים לתרום סכום סימלי?
הכנסו עכשיו!","היינו פליטים ואנחנו לא נעמוד מנגד! - גיוס חירום למען הפליטים מאוקראינה",give.afi.org.il,"הפליטים שמגיעים לארץ מאוקראינה נדרשים לשלם 10,000 שקלים ערבות לאדם כדי שיוכלו לקבל מקלט זמני במדינת ישראל. אנחנו שהיינו פליטים לא יכולים לעמוד מנגד! מול הנוקשות הזו, שמ...","lower_bound: 9000, upper_bound: 9999","lower_bound: 500, upper_bound: 599",ILS,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.003931},{""age"":""45-54"",""gender"":""female"",""percentage"":0.119044},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.003617},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.007391},{""age"":""65+"",""gender"":""male"",""percentage"":0.057556},{""age"":""25-34"",""gender"":""male"",""percentage"":0.145935},{""age"":""35-44"",""gender"":""male"",""percentage"":0.104104},{""age"":""35-44"",""gender"":""female"",""percentage"":0.110552},{""age"":""65+"",""gender"":""female"",""percentage"":0.109608},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.005819},{""age"":""55-64"",""gender"":""male"",""percentage"":0.062274},{""age"":""55-64"",""gender"":""female"",""percentage"":0.113225},{""age"":""18-24"",""gender"":""male"",""percentage"":0.015726},{""age"":""45-54"",""gender"":""male"",""percentage"":0.080673},{""age"":""25-34"",""gender"":""female"",""percentage"":0.050322},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.008335},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001887}","{""region"":""Southern District"",""percentage"":0.111655},{""region"":""Central District"",""percentage"":0.27211},{""region"":""Northern District"",""percentage"":0.118604},{""region"":""Heifa"",""percentage"":0.148452},{""region"":""Tel Aviv"",""percentage"":0.251263},{""region"":""Jerusalem"",""percentage"":0.097915}",facebook,"lower_bound: 100001, upper_bound: 500000",he
267056824779078,453662681675220,"הברית הישראלית",2021-02-10,2021-02-10,2021-02-11,"הברית הישראלית","המיסים שלנו הם המשכורות שלהם 
במקום לעבוד בשביל הציבור הם עבדו על הציבור
ושירתו את ממשלת המחדל
חושבים שהם צריכים לשלם את המחיר?
הצטרפו למימון המונים עכשיו!","עזרו לנו לתבוע את הממשלה, הצטרפו עכשיו למימון ההמונים >>",beactive.co.il,"עסקים נפגעו, נכנסו לחובות, קרסו ונסגרו. הממשלה זרקה להם פירורים וציפתה שישתקו. אנחנו נסייע לכל מי שנפגעו לתבוע את הפיצויים שמגיעים להם!","lower_bound: 0, upper_bound: 999","lower_bound: 0, upper_bound: 99",ILS,"{""age"":""65+"",""gender"":""male"",""percentage"":0.096774},{""age"":""55-64"",""gender"":""male"",""percentage"":0.050691},{""age"":""18-24"",""gender"":""male"",""percentage"":0.013825},{""age"":""45-54"",""gender"":""male"",""percentage"":0.050691},{""age"":""45-54"",""gender"":""female"",""percentage"":0.152074},{""age"":""35-44"",""gender"":""male"",""percentage"":0.078341},{""age"":""35-44"",""gender"":""female"",""percentage"":0.119816},{""age"":""55-64"",""gender"":""female"",""percentage"":0.165899},{""age"":""65+"",""gender"":""female"",""percentage"":0.16129},{""age"":""25-34"",""gender"":""female"",""percentage"":0.036866},{""age"":""18-24"",""gender"":""female"",""percentage"":0.009217},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.009217},{""age"":""25-34"",""gender"":""male"",""percentage"":0.046083},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.004608},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.004608}","{""region"":""Southern District"",""percentage"":0.0553},{""region"":""Central District"",""percentage"":0.271889},{""region"":""Northern District"",""percentage"":0.119816},{""region"":""Heifa"",""percentage"":0.105991},{""region"":""Tel Aviv"",""percentage"":0.354839},{""region"":""Jerusalem"",""percentage"":0.092166}",facebook,"lower_bound: 1001, upper_bound: 5000",he
430066688311619,453662681675220,"הברית הישראלית",2021-02-10,2021-02-10,2021-02-11,"הברית הישראלית","עשרות אלפי בעלי עסקים זקוקים לך כדי 
* לגייס ייצוג משפטי איכותי
* לתבוע את הממשלה על מחדל הקורונה
* לקבל את הפיצויים שמגיעים להם.","הצטרפו עכשיו למימון ההמונים ועזרו לנו לתבוע את הממשלה >>",beactive.co.il,"עסקים נפגעו, נכנסו לחובות, קרסו ונסגרו. הממשלה זרקה להם פירורים וציפתה שישתקו. אנחנו נסייע לכל מי שנפגעו לתבוע את הפיצויים שמגיעים להם!","lower_bound: 0, upper_bound: 999","lower_bound: 0, upper_bound: 99",ILS,"{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.003597},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.010791},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.003597},{""age"":""55-64"",""gender"":""male"",""percentage"":0.02518},{""age"":""65+"",""gender"":""female"",""percentage"":0.140288},{""age"":""35-44"",""gender"":""female"",""percentage"":0.136691},{""age"":""45-54"",""gender"":""female"",""percentage"":0.183453},{""age"":""25-34"",""gender"":""male"",""percentage"":0.086331},{""age"":""25-34"",""gender"":""female"",""percentage"":0.039568},{""age"":""65+"",""gender"":""male"",""percentage"":0.057554},{""age"":""55-64"",""gender"":""female"",""percentage"":0.140288},{""age"":""45-54"",""gender"":""male"",""percentage"":0.061151},{""age"":""18-24"",""gender"":""female"",""percentage"":0.007194},{""age"":""35-44"",""gender"":""male"",""percentage"":0.093525},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.003597},{""age"":""18-24"",""gender"":""male"",""percentage"":0.007194}","{""region"":""Southern District"",""percentage"":0.064748},{""region"":""Central District"",""percentage"":0.266187},{""region"":""Northern District"",""percentage"":0.115108},{""region"":""Heifa"",""percentage"":0.133094},{""region"":""Tel Aviv"",""percentage"":0.338129},{""region"":""Jerusalem"",""percentage"":0.082734}",facebook,"lower_bound: 1001, upper_bound: 5000",he
446981453090973,453662681675220,"הברית הישראלית",2021-02-10,2021-02-10,2021-02-11,"הברית הישראלית","חושבים שממשלת החירום נכשלה? 
רוצים שממשלת החירום תשלם?
הצטרפו למימון המונים עכשיו!","עזרו לנו לתבוע את הממשלה, הצטרפו עכשיו למימון ההמונים >>",beactive.co.il,"עסקים נפגעו, נכנסו לחובות, קרסו ונסגרו. הממשלה זרקה להם פירורים וציפתה שישתקו. אנחנו נסייע לכל מי שנפגעו לתבוע את הפיצויים שמגיעים להם!","lower_bound: 0, upper_bound: 999","lower_bound: 0, upper_bound: 99",ILS,"{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.006135},{""age"":""65+"",""gender"":""male"",""percentage"":0.083845},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.00818},{""age"":""45-54"",""gender"":""female"",""percentage"":0.102249},{""age"":""55-64"",""gender"":""female"",""percentage"":0.09407},{""age"":""25-34"",""gender"":""female"",""percentage"":0.055215},{""age"":""25-34"",""gender"":""male"",""percentage"":0.09816},{""age"":""45-54"",""gender"":""male"",""percentage"":0.083845},{""age"":""35-44"",""gender"":""male"",""percentage"":0.116564},{""age"":""18-24"",""gender"":""female"",""percentage"":0.014315},{""age"":""35-44"",""gender"":""female"",""percentage"":0.126789},{""age"":""55-64"",""gender"":""male"",""percentage"":0.05317},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.002045},{""age"":""18-24"",""gender"":""male"",""percentage"":0.02045},{""age"":""65+"",""gender"":""female"",""percentage"":0.128834},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.002045},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.00409}","{""region"":""Southern District"",""percentage"":0.07771},{""region"":""Central District"",""percentage"":0.261759},{""region"":""Northern District"",""percentage"":0.134969},{""region"":""Heifa"",""percentage"":0.122699},{""region"":""Tel Aviv"",""percentage"":0.341513},{""region"":""Jerusalem"",""percentage"":0.06135}",facebook,"lower_bound: 1001, upper_bound: 5000",he
1391117747895364,453662681675220,"הברית הישראלית",2021-02-10,2021-02-10,2021-02-11,"הברית הישראלית","המיסים שלנו הם המשכורות שלהם 
במקום לעבוד בשביל הציבור הם עבדו על הציבור
ושירתו את ממשלת המחדל
חושבים שהם צריכים לשלם את המחיר?
הצטרפו למימון המונים עכשיו!","עזרו לנו לתבוע את הממשלה, הצטרפו עכשיו למימון ההמונים >>",beactive.co.il,"עסקים נפגעו, נכנסו לחובות, קרסו ונסגרו. הממשלה זרקה להם פירורים וציפתה שישתקו. אנחנו נסייע לכל מי שנפגעו לתבוע את הפיצויים שמגיעים להם!","lower_bound: 0, upper_bound: 999","lower_bound: 0, upper_bound: 99",ILS,"{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.004082},{""age"":""65+"",""gender"":""male"",""percentage"":0.065306},{""age"":""35-44"",""gender"":""male"",""percentage"":0.069388},{""age"":""35-44"",""gender"":""female"",""percentage"":0.073469},{""age"":""65+"",""gender"":""female"",""percentage"":0.208163},{""age"":""55-64"",""gender"":""female"",""percentage"":0.163265},{""age"":""45-54"",""gender"":""female"",""percentage"":0.110204},{""age"":""18-24"",""gender"":""female"",""percentage"":0.016327},{""age"":""55-64"",""gender"":""male"",""percentage"":0.106122},{""age"":""25-34"",""gender"":""female"",""percentage"":0.057143},{""age"":""45-54"",""gender"":""male"",""percentage"":0.04898},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.004082},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.008163},{""age"":""25-34"",""gender"":""male"",""percentage"":0.040816},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.016327},{""age"":""18-24"",""gender"":""male"",""percentage"":0.008163}","{""region"":""Southern District"",""percentage"":0.032653},{""region"":""Central District"",""percentage"":0.277551},{""region"":""Northern District"",""percentage"":0.081633},{""region"":""Heifa"",""percentage"":0.159184},{""region"":""Tel Aviv"",""percentage"":0.359184},{""region"":""Jerusalem"",""percentage"":0.089796}",facebook,"lower_bound: 1001, upper_bound: 5000",he
443057480459995,453662681675220,"הברית הישראלית",2021-02-10,2021-02-10,2021-02-11,"הברית הישראלית","עשרות אלפי בעלי עסקים זקוקים לך כדי 
* לגייס ייצוג משפטי איכותי
* לתבוע את הממשלה על מחדל הקורונה
* לקבל את הפיצויים שמגיעים להם.","הצטרפו עכשיו למימון ההמונים ועזרו לנו לתבוע את הממשלה >>",beactive.co.il,"עסקים נפגעו, נכנסו לחובות, קרסו ונסגרו. הממשלה זרקה להם פירורים וציפתה שישתקו. אנחנו נסייע לכל מי שנפגעו לתבוע את הפיצויים שמגיעים להם!","lower_bound: 0, upper_bound: 999","lower_bound: 0, upper_bound: 99",ILS,"{""age"":""65+"",""gender"":""unknown"",""percentage"":0.014535},{""age"":""45-54"",""gender"":""male"",""percentage"":0.061047},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.005814},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.005814},{""age"":""65+"",""gender"":""male"",""percentage"":0.063953},{""age"":""25-34"",""gender"":""male"",""percentage"":0.037791},{""age"":""35-44"",""gender"":""female"",""percentage"":0.093023},{""age"":""25-34"",""gender"":""female"",""percentage"":0.052326},{""age"":""55-64"",""gender"":""female"",""percentage"":0.188953},{""age"":""18-24"",""gender"":""female"",""percentage"":0.011628},{""age"":""35-44"",""gender"":""male"",""percentage"":0.049419},{""age"":""65+"",""gender"":""female"",""percentage"":0.151163},{""age"":""45-54"",""gender"":""female"",""percentage"":0.171512},{""age"":""55-64"",""gender"":""male"",""percentage"":0.087209},{""age"":""18-24"",""gender"":""male"",""percentage"":0.005814}","{""region"":""Southern District"",""percentage"":0.052326},{""region"":""Central District"",""percentage"":0.27907},{""region"":""Northern District"",""percentage"":0.136628},{""region"":""Heifa"",""percentage"":0.113372},{""region"":""Tel Aviv"",""percentage"":0.351744},{""region"":""Jerusalem"",""percentage"":0.06686}",facebook,"lower_bound: 1001, upper_bound: 5000",he
258174509211826,453662681675220,"הברית הישראלית",2021-02-10,2021-02-10,2021-02-11,"הברית הישראלית","חושבים שממשלת החירום נכשלה? 
רוצים שממשלת החירום תשלם?
הצטרפו למימון המונים עכשיו!","עזרו לנו לתבוע את הממשלה, הצטרפו עכשיו למימון ההמונים >>",beactive.co.il,"עסקים נפגעו, נכנסו לחובות, קרסו ונסגרו. הממשלה זרקה להם פירורים וציפתה שישתקו. אנחנו נסייע לכל מי שנפגעו לתבוע את הפיצויים שמגיעים להם!","lower_bound: 0, upper_bound: 999","lower_bound: 100, upper_bound: 199",ILS,"{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.002845},{""age"":""25-34"",""gender"":""male"",""percentage"":0.055477},{""age"":""55-64"",""gender"":""male"",""percentage"":0.075391},{""age"":""45-54"",""gender"":""male"",""percentage"":0.082504},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002845},{""age"":""35-44"",""gender"":""female"",""percentage"":0.088193},{""age"":""35-44"",""gender"":""male"",""percentage"":0.082504},{""age"":""45-54"",""gender"":""female"",""percentage"":0.13798},{""age"":""55-64"",""gender"":""female"",""percentage"":0.152205},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.00569},{""age"":""65+"",""gender"":""male"",""percentage"":0.083926},{""age"":""65+"",""gender"":""female"",""percentage"":0.165007},{""age"":""25-34"",""gender"":""female"",""percentage"":0.02845},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.01138},{""age"":""18-24"",""gender"":""male"",""percentage"":0.00569},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.00569},{""age"":""18-24"",""gender"":""female"",""percentage"":0.014225}","{""region"":""Southern District"",""percentage"":0.058321},{""region"":""Central District"",""percentage"":0.250356},{""region"":""Northern District"",""percentage"":0.125178},{""region"":""Heifa"",""percentage"":0.14367},{""region"":""Tel Aviv"",""percentage"":0.337127},{""region"":""Jerusalem"",""percentage"":0.085349}",facebook,"lower_bound: 1001, upper_bound: 5000",he
412687586688742,453662681675220,"הברית הישראלית",2021-02-10,2021-02-10,2021-02-11,"הברית הישראלית","חושבים שממשלת החירום נכשלה? 
רוצים שממשלת החירום תשלם?
הצטרפו למימון המונים עכשיו!","עזרו לנו לתבוע את הממשלה, הצטרפו עכשיו למימון ההמונים >>",beactive.co.il,"עסקים נפגעו, נכנסו לחובות, קרסו ונסגרו. הממשלה זרקה להם פירורים וציפתה שישתקו. אנחנו נסייע לכל מי שנפגעו לתבוע את הפיצויים שמגיעים להם!","lower_bound: 0, upper_bound: 999","lower_bound: 0, upper_bound: 99",ILS,,,facebook,"lower_bound: 10001, upper_bound: 50000",he
540863036873036,453662681675220,"הברית הישראלית",2021-02-10,2021-02-10,2021-02-11,"הברית הישראלית","המיסים שלנו הם המשכורות שלהם 
במקום לעבוד בשביל הציבור הם עבדו על הציבור
ושירתו את ממשלת המחדל
חושבים שהם צריכים לשלם את המחיר?
הצטרפו למימון המונים עכשיו!","עזרו לנו לתבוע את הממשלה, הצטרפו עכשיו למימון ההמונים >>",beactive.co.il,"עסקים נפגעו, נכנסו לחובות, קרסו ונסגרו. הממשלה זרקה להם פירורים וציפתה שישתקו. אנחנו נסייע לכל מי שנפגעו לתבוע את הפיצויים שמגיעים להם!","lower_bound: 0, upper_bound: 999","lower_bound: 0, upper_bound: 99",ILS,"{""age"":""65+"",""gender"":""female"",""percentage"":0.108787},{""age"":""35-44"",""gender"":""male"",""percentage"":0.112971},{""age"":""35-44"",""gender"":""female"",""percentage"":0.150628},{""age"":""55-64"",""gender"":""male"",""percentage"":0.046025},{""age"":""65+"",""gender"":""male"",""percentage"":0.046025},{""age"":""45-54"",""gender"":""male"",""percentage"":0.096234},{""age"":""45-54"",""gender"":""female"",""percentage"":0.131799},{""age"":""55-64"",""gender"":""female"",""percentage"":0.112971},{""age"":""25-34"",""gender"":""male"",""percentage"":0.077406},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.01046},{""age"":""18-24"",""gender"":""female"",""percentage"":0.012552},{""age"":""25-34"",""gender"":""female"",""percentage"":0.064854},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.004184},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.01046},{""age"":""18-24"",""gender"":""male"",""percentage"":0.014644}","{""region"":""Southern District"",""percentage"":0.048117},{""region"":""Central District"",""percentage"":0.236402},{""region"":""Northern District"",""percentage"":0.110879},{""region"":""Heifa"",""percentage"":0.133891},{""region"":""Tel Aviv"",""percentage"":0.353556},{""region"":""Jerusalem"",""percentage"":0.117155}",facebook,"lower_bound: 10001, upper_bound: 50000",he
