ad_archive_id,page_id,page_name,ad_creation_time,ad_delivery_start_time,ad_delivery_stop_time,byline,ad_creative_bodies,ad_creative_link_titles,ad_creative_link_captions,ad_creative_link_descriptions,impressions,spend,currency,demographic_distribution,delivery_by_region,publisher_platforms,estimated_audience_size,languages
1917877828733919,115669731531701,"לוחמי כיפור 73 במסע להגנה על הדמוקרטיה - בתמונות",2024-10-07,2024-10-07,2024-10-12,"לוחמי כיפור 73 במסע להגנה על הדמוקרטיה - בתמונות","אלו השופרות שלך, אלו הגיבורים שלנו. לא נשכח, לא תברח. אתה הראש אתה אשם",,,,"lower_bound: 150000, upper_bound: 174999","lower_bound: 2500, upper_bound: 2999",ILS,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.000959},{""age"":""45-54"",""gender"":""male"",""percentage"":0.161606},{""age"":""65+"",""gender"":""male"",""percentage"":0.140767},{""age"":""65+"",""gender"":""female"",""percentage"":0.100375},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.002494},{""age"":""55-64"",""gender"":""male"",""percentage"":0.162922},{""age"":""55-64"",""gender"":""female"",""percentage"":0.069274},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.005809},{""age"":""45-54"",""gender"":""female"",""percentage"":0.053997},{""age"":""18-24"",""gender"":""male"",""percentage"":0.004083},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.005097},{""age"":""35-44"",""gender"":""male"",""percentage"":0.142548},{""age"":""35-44"",""gender"":""female"",""percentage"":0.04853},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000685},{""age"":""25-34"",""gender"":""male"",""percentage"":0.078385},{""age"":""25-34"",""gender"":""female"",""percentage"":0.019634},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000192},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.002644}","{""region"":""Central District"",""percentage"":0.249471},{""region"":""Heifa"",""percentage"":0.162513},{""region"":""Jerusalem"",""percentage"":0.091187},{""region"":""Northern District"",""percentage"":0.230714},{""region"":""Southern District"",""percentage"":0.066936},{""region"":""Tel Aviv"",""percentage"":0.198896},{""region"":""Unknown"",""percentage"":0.000283}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",he
1571386656814341,115669731531701,"לוחמי כיפור 73 במסע להגנה על הדמוקרטיה - בתמונות",2024-10-07,2024-10-07,2024-10-12,"לוחמי כיפור 73 במסע להגנה על הדמוקרטיה - בתמונות","אלו השופרות שלך, אלו הגיבורים שלנו. לא נשכח, לא תברח. אתה הראש אתה אשם",,,,"lower_bound: 450000, upper_bound: 499999","lower_bound: 7000, upper_bound: 7999",ILS,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.040834},{""age"":""45-54"",""gender"":""male"",""percentage"":0.093371},{""age"":""65+"",""gender"":""male"",""percentage"":0.058632},{""age"":""65+"",""gender"":""female"",""percentage"":0.056155},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.00176},{""age"":""55-64"",""gender"":""male"",""percentage"":0.063213},{""age"":""55-64"",""gender"":""female"",""percentage"":0.040499},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.004403},{""age"":""45-54"",""gender"":""female"",""percentage"":0.054815},{""age"":""18-24"",""gender"":""male"",""percentage"":0.105897},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.004988},{""age"":""35-44"",""gender"":""male"",""percentage"":0.119601},{""age"":""35-44"",""gender"":""female"",""percentage"":0.054547},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001824},{""age"":""25-34"",""gender"":""male"",""percentage"":0.215115},{""age"":""25-34"",""gender"":""female"",""percentage"":0.080583},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.001684},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.002078}","{""region"":""Central District"",""percentage"":0.278032},{""region"":""Heifa"",""percentage"":0.125951},{""region"":""Jerusalem"",""percentage"":0.091108},{""region"":""Northern District"",""percentage"":0.138567},{""region"":""Southern District"",""percentage"":0.096603},{""region"":""Tel Aviv"",""percentage"":0.269698},{""region"":""Unknown"",""percentage"":4.1e-5}","facebook,instagram","lower_bound: 1000001",he
1223324965577144,115669731531701,"לוחמי כיפור 73 במסע להגנה על הדמוקרטיה - בתמונות",2024-10-06,2024-10-06,2024-10-12,"לוחמי כיפור 73 במסע להגנה על הדמוקרטיה - בתמונות","הרב אלחנן דנינו, אביו של אורי ז""ל: ""הכל קרה במשמרת שלך, הבן שלי נרצח במנהרה שאתה בנית"". לא נשכח, לא תברח. אתה הראש אתה אשם,הרב אלחנן דנינו, אביו של אורי ז""ל: ""הכל קרה במשמרת שלך, הבן שלי נרצח במנהרה שאתה בנית"". לא נשכח, לא תברח. אתה הראש אתה אשם","צפו עכשיו >>,צפו עכשיו >>",youtube.com,"Share your videos with friends, family, and the world,Share your videos with friends, family, and the world","lower_bound: 350000, upper_bound: 399999","lower_bound: 7000, upper_bound: 7999",ILS,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.082476},{""age"":""45-54"",""gender"":""male"",""percentage"":0.057636},{""age"":""65+"",""gender"":""male"",""percentage"":0.05223},{""age"":""65+"",""gender"":""female"",""percentage"":0.105515},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001289},{""age"":""55-64"",""gender"":""male"",""percentage"":0.04499},{""age"":""55-64"",""gender"":""female"",""percentage"":0.06489},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002729},{""age"":""45-54"",""gender"":""female"",""percentage"":0.068384},{""age"":""18-24"",""gender"":""male"",""percentage"":0.101562},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.003218},{""age"":""35-44"",""gender"":""male"",""percentage"":0.073012},{""age"":""35-44"",""gender"":""female"",""percentage"":0.060024},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001388},{""age"":""25-34"",""gender"":""male"",""percentage"":0.16579},{""age"":""25-34"",""gender"":""female"",""percentage"":0.111},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.001609},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.002258}","{""region"":""Central District"",""percentage"":0.281941},{""region"":""Heifa"",""percentage"":0.127307},{""region"":""Jerusalem"",""percentage"":0.100158},{""region"":""Northern District"",""percentage"":0.158091},{""region"":""Southern District"",""percentage"":0.112609},{""region"":""Tel Aviv"",""percentage"":0.219677},{""region"":""Unknown"",""percentage"":0.000216}","facebook,instagram","lower_bound: 1000001",he
521437323925577,115669731531701,"לוחמי כיפור 73 במסע להגנה על הדמוקרטיה - בתמונות",2024-10-06,2024-10-06,2024-10-11,"לוחמי כיפור 73 במסע להגנה על הדמוקרטיה - בתמונות","הרב אלחנן דנינו, אביו של אורי ז""ל: ""הכל קרה במשמרת שלך, הבן שלי נרצח במנהרה שאתה בנית"". לא נשכח, לא תברח. אתה הראש אתה אשם,הרב אלחנן דנינו, אביו של אורי ז""ל: ""הכל קרה במשמרת שלך, הבן שלי נרצח במנהרה שאתה בנית"". לא נשכח, לא תברח. אתה הראש אתה אשם","צפו עכשיו >>,צפו עכשיו >>",youtube.com,"Share your videos with friends, family, and the world,Share your videos with friends, family, and the world","lower_bound: 100000, upper_bound: 124999","lower_bound: 2500, upper_bound: 2999",ILS,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.001281},{""age"":""45-54"",""gender"":""male"",""percentage"":0.103281},{""age"":""65+"",""gender"":""male"",""percentage"":0.124117},{""age"":""65+"",""gender"":""female"",""percentage"":0.210081},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.002253},{""age"":""55-64"",""gender"":""male"",""percentage"":0.116901},{""age"":""55-64"",""gender"":""female"",""percentage"":0.1231},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.003181},{""age"":""45-54"",""gender"":""female"",""percentage"":0.076938},{""age"":""18-24"",""gender"":""male"",""percentage"":0.003814},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.003166},{""age"":""35-44"",""gender"":""male"",""percentage"":0.093194},{""age"":""35-44"",""gender"":""female"",""percentage"":0.05167},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000545},{""age"":""25-34"",""gender"":""male"",""percentage"":0.062699},{""age"":""25-34"",""gender"":""female"",""percentage"":0.020394},{""age"":""18-24"",""gender"":""unknown"",""percentage"":8.8e-5},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.003298}","{""region"":""Central District"",""percentage"":0.276905},{""region"":""Heifa"",""percentage"":0.14557},{""region"":""Jerusalem"",""percentage"":0.091024},{""region"":""Northern District"",""percentage"":0.207434},{""region"":""Southern District"",""percentage"":0.074456},{""region"":""Tel Aviv"",""percentage"":0.204423},{""region"":""Unknown"",""percentage"":0.000187}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",he
1223626052213362,115669731531701,"לוחמי כיפור 73 במסע להגנה על הדמוקרטיה - בתמונות",2024-10-06,2024-10-06,2024-10-09,"לוחמי כיפור 73 במסע להגנה על הדמוקרטיה - בתמונות","רק אתה פוחד להגיע לניר עוז. לא נשכח, לא תברח. אתה הראש אתה אשם,רק אתה פוחד להגיע לניר עוז. לא נשכח, לא תברח. אתה הראש אתה אשם,רק אתה פוחד להגיע לניר עוז. לא נשכח, לא תברח. אתה הראש אתה אשם","צפו עכשיו>>,צפו עכשיו>>,צפו עכשיו>>",youtube.com,"Share your videos with friends, family, and the world,Share your videos with friends, family, and the world,Share your videos with friends, family, and the world","lower_bound: 20000, upper_bound: 24999","lower_bound: 300, upper_bound: 399",ILS,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.002146},{""age"":""45-54"",""gender"":""male"",""percentage"":0.11082},{""age"":""65+"",""gender"":""male"",""percentage"":0.058063},{""age"":""65+"",""gender"":""female"",""percentage"":0.100328},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.00304},{""age"":""55-64"",""gender"":""male"",""percentage"":0.08614},{""age"":""55-64"",""gender"":""female"",""percentage"":0.108316},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.007452},{""age"":""45-54"",""gender"":""female"",""percentage"":0.128167},{""age"":""18-24"",""gender"":""male"",""percentage"":0.006259},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.008346},{""age"":""35-44"",""gender"":""male"",""percentage"":0.124709},{""age"":""35-44"",""gender"":""female"",""percentage"":0.115171},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001192},{""age"":""25-34"",""gender"":""male"",""percentage"":0.080894},{""age"":""25-34"",""gender"":""female"",""percentage"":0.055976},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000179},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.002802}","{""region"":""Central District"",""percentage"":0.278782},{""region"":""Heifa"",""percentage"":0.145151},{""region"":""Jerusalem"",""percentage"":0.079737},{""region"":""Northern District"",""percentage"":0.174396},{""region"":""Southern District"",""percentage"":0.059445},{""region"":""Tel Aviv"",""percentage"":0.26225},{""region"":""Unknown"",""percentage"":0.000239}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",he
1263531778178448,115669731531701,"לוחמי כיפור 73 במסע להגנה על הדמוקרטיה - בתמונות",2024-10-06,2024-10-06,2024-10-12,"לוחמי כיפור 73 במסע להגנה על הדמוקרטיה - בתמונות","אתה העברת לחמאס 360 מיליון דולר בשנה וזה מה שקרה. לא נשכח, לא תברח. אתה הראש אתה אשם,אתה העברת לחמאס 360 מיליון דולר בשנה וזה מה שקרה. לא נשכח, לא תברח. אתה הראש אתה אשם,אתה העברת לחמאס 360 מיליון דולר בשנה וזה מה שקרה. לא נשכח, לא תברח. אתה הראש אתה אשם","צפו עכשיו >>,צפו עכשיו >>,צפו עכשיו >>",youtube.com,"Share your videos with friends, family, and the world,Share your videos with friends, family, and the world,Share your videos with friends, family, and the world","lower_bound: 90000, upper_bound: 99999","lower_bound: 2000, upper_bound: 2499",ILS,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.001575},{""age"":""45-54"",""gender"":""male"",""percentage"":0.097864},{""age"":""65+"",""gender"":""male"",""percentage"":0.13759},{""age"":""65+"",""gender"":""female"",""percentage"":0.201503},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.00192},{""age"":""55-64"",""gender"":""male"",""percentage"":0.109005},{""age"":""55-64"",""gender"":""female"",""percentage"":0.105428},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.00233},{""age"":""45-54"",""gender"":""female"",""percentage"":0.072101},{""age"":""18-24"",""gender"":""male"",""percentage"":0.00571},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002461},{""age"":""35-44"",""gender"":""male"",""percentage"":0.09806},{""age"":""35-44"",""gender"":""female"",""percentage"":0.051738},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000689},{""age"":""25-34"",""gender"":""male"",""percentage"":0.083588},{""age"":""25-34"",""gender"":""female"",""percentage"":0.025336},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000164},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.002937}","{""region"":""Central District"",""percentage"":0.234939},{""region"":""Heifa"",""percentage"":0.161228},{""region"":""Jerusalem"",""percentage"":0.09856},{""region"":""Northern District"",""percentage"":0.261842},{""region"":""Southern District"",""percentage"":0.062202},{""region"":""Tel Aviv"",""percentage"":0.180827},{""region"":""Unknown"",""percentage"":0.000401}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",he
558850403369550,115669731531701,"לוחמי כיפור 73 במסע להגנה על הדמוקרטיה - בתמונות",2024-10-06,2024-10-06,2024-10-09,"לוחמי כיפור 73 במסע להגנה על הדמוקרטיה - בתמונות","רק אתה פוחד להגיע לניר עוז. לא נשכח, לא תברח. אתה הראש אתה אשם,רק אתה פוחד להגיע לניר עוז. לא נשכח, לא תברח. אתה הראש אתה אשם,רק אתה פוחד להגיע לניר עוז. לא נשכח, לא תברח. אתה הראש אתה אשם","צפו עכשיו>>,צפו עכשיו>>,צפו עכשיו>>",youtube.com,"Share your videos with friends, family, and the world,Share your videos with friends, family, and the world,Share your videos with friends, family, and the world","lower_bound: 250000, upper_bound: 299999","lower_bound: 3000, upper_bound: 3499",ILS,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.107866},{""age"":""45-54"",""gender"":""male"",""percentage"":0.045634},{""age"":""65+"",""gender"":""male"",""percentage"":0.018401},{""age"":""65+"",""gender"":""female"",""percentage"":0.037932},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000881},{""age"":""55-64"",""gender"":""male"",""percentage"":0.02454},{""age"":""55-64"",""gender"":""female"",""percentage"":0.04373},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.00311},{""age"":""45-54"",""gender"":""female"",""percentage"":0.075386},{""age"":""18-24"",""gender"":""male"",""percentage"":0.117024},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.004556},{""age"":""35-44"",""gender"":""male"",""percentage"":0.066875},{""age"":""35-44"",""gender"":""female"",""percentage"":0.094428},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.002362},{""age"":""25-34"",""gender"":""male"",""percentage"":0.17354},{""age"":""25-34"",""gender"":""female"",""percentage"":0.180682},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.002291},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000764}","{""region"":""Central District"",""percentage"":0.308975},{""region"":""Heifa"",""percentage"":0.118572},{""region"":""Jerusalem"",""percentage"":0.080209},{""region"":""Northern District"",""percentage"":0.111581},{""region"":""Southern District"",""percentage"":0.095631},{""region"":""Tel Aviv"",""percentage"":0.284604},{""region"":""Unknown"",""percentage"":0.000429}","facebook,instagram","lower_bound: 1000001",he
2326918890984030,115669731531701,"לוחמי כיפור 73 במסע להגנה על הדמוקרטיה - בתמונות",2024-10-06,2024-10-06,2024-10-12,"לוחמי כיפור 73 במסע להגנה על הדמוקרטיה - בתמונות","אתה העברת לחמאס 360 מיליון דולר בשנה וזה מה שקרה. לא נשכח, לא תברח. אתה הראש אתה אשם,אתה העברת לחמאס 360 מיליון דולר בשנה וזה מה שקרה. לא נשכח, לא תברח. אתה הראש אתה אשם,אתה העברת לחמאס 360 מיליון דולר בשנה וזה מה שקרה. לא נשכח, לא תברח. אתה הראש אתה אשם","צפו עכשיו >>,צפו עכשיו >>,צפו עכשיו >>",youtube.com,"Share your videos with friends, family, and the world,Share your videos with friends, family, and the world,Share your videos with friends, family, and the world","lower_bound: 500000, upper_bound: 599999","lower_bound: 8000, upper_bound: 8999",ILS,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.138885},{""age"":""45-54"",""gender"":""male"",""percentage"":0.04515},{""age"":""65+"",""gender"":""male"",""percentage"":0.043587},{""age"":""65+"",""gender"":""female"",""percentage"":0.072314},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000814},{""age"":""55-64"",""gender"":""male"",""percentage"":0.033939},{""age"":""55-64"",""gender"":""female"",""percentage"":0.043443},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001581},{""age"":""45-54"",""gender"":""female"",""percentage"":0.043497},{""age"":""18-24"",""gender"":""male"",""percentage"":0.172341},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001815},{""age"":""35-44"",""gender"":""male"",""percentage"":0.058302},{""age"":""35-44"",""gender"":""female"",""percentage"":0.042899},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001552},{""age"":""25-34"",""gender"":""male"",""percentage"":0.174261},{""age"":""25-34"",""gender"":""female"",""percentage"":0.121483},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.002712},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.001426}","{""region"":""Central District"",""percentage"":0.258364},{""region"":""Heifa"",""percentage"":0.138248},{""region"":""Jerusalem"",""percentage"":0.112581},{""region"":""Northern District"",""percentage"":0.20111},{""region"":""Southern District"",""percentage"":0.109199},{""region"":""Tel Aviv"",""percentage"":0.180121},{""region"":""Unknown"",""percentage"":0.000377}","facebook,instagram","lower_bound: 1000001",he
857863772829149,115669731531701,"לוחמי כיפור 73 במסע להגנה על הדמוקרטיה - בתמונות",2024-06-19,2024-06-19,2024-06-20,"לוחמי כיפור 73 במסע להגנה על הדמוקרטיה - בתמונות","נתניהו, עקורי גבול הצפון באים אליך לקיסיריה!
חמישי | 20.6 | 19:00","אתה הראש , אתה אשם | תמכו בנו >>",beactive.co.il,"מוקד קיסריה: כל מוצ״ש עד שנתניהו יודח! אנו, לוחמי כיפור 73' ואנשי מחאת מוקד קיסריה מבקשים את תמיכתכם במאבק קבוע מול ביתו של נתניהו בקיסריה.","lower_bound: 3000, upper_bound: 3999","lower_bound: 200, upper_bound: 299",ILS,"{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.003283},{""age"":""25-34"",""gender"":""male"",""percentage"":0.006567},{""age"":""18-24"",""gender"":""male"",""percentage"":0.000938},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000469},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.003283},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.006098},{""age"":""25-34"",""gender"":""female"",""percentage"":0.007974},{""age"":""55-64"",""gender"":""female"",""percentage"":0.105066},{""age"":""45-54"",""gender"":""male"",""percentage"":0.062852},{""age"":""35-44"",""gender"":""female"",""percentage"":0.015009},{""age"":""65+"",""gender"":""male"",""percentage"":0.237805},{""age"":""65+"",""gender"":""female"",""percentage"":0.373358},{""age"":""35-44"",""gender"":""male"",""percentage"":0.014071},{""age"":""18-24"",""gender"":""female"",""percentage"":0.002814},{""age"":""55-64"",""gender"":""male"",""percentage"":0.111163},{""age"":""45-54"",""gender"":""female"",""percentage"":0.048311},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000938}","{""region"":""Southern District"",""percentage"":0.09375},{""region"":""Central District"",""percentage"":0.319602},{""region"":""Northern District"",""percentage"":0.100852},{""region"":""Heifa"",""percentage"":0.155777},{""region"":""Tel Aviv"",""percentage"":0.267045},{""region"":""Jerusalem"",""percentage"":0.0625},{""region"":""Unknown"",""percentage"":0.000473}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",he
1844593079370782,115669731531701,"לוחמי כיפור 73 במסע להגנה על הדמוקרטיה - בתמונות",2024-06-19,2024-06-19,2024-06-20,"לוחמי כיפור 73 במסע להגנה על הדמוקרטיה - בתמונות","נתניהו, עקורי גבול הצפון באים אליך לקיסיריה!
חמישי | 20.6 | 19:00","אתה הראש , אתה אשם | תמכו בנו >>",beactive.co.il,"מוקד קיסריה: כל מוצ״ש עד שנתניהו יודח! אנו, לוחמי כיפור 73' ואנשי מחאת מוקד קיסריה מבקשים את תמיכתכם במאבק קבוע מול ביתו של נתניהו בקיסריה.","lower_bound: 8000, upper_bound: 8999","lower_bound: 500, upper_bound: 599",ILS,"{""age"":""18-24"",""gender"":""male"",""percentage"":0.001094},{""age"":""55-64"",""gender"":""male"",""percentage"":0.096894},{""age"":""18-24"",""gender"":""female"",""percentage"":0.001531},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000875},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001531},{""age"":""35-44"",""gender"":""male"",""percentage"":0.029965},{""age"":""45-54"",""gender"":""female"",""percentage"":0.043088},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.008749},{""age"":""55-64"",""gender"":""female"",""percentage"":0.104768},{""age"":""25-34"",""gender"":""male"",""percentage"":0.006999},{""age"":""65+"",""gender"":""female"",""percentage"":0.388451},{""age"":""65+"",""gender"":""male"",""percentage"":0.22944},{""age"":""45-54"",""gender"":""male"",""percentage"":0.063648},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.0035},{""age"":""25-34"",""gender"":""female"",""percentage"":0.006343},{""age"":""35-44"",""gender"":""female"",""percentage"":0.012686},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000437}","{""region"":""Unknown"",""percentage"":0.000218},{""region"":""Southern District"",""percentage"":0.071724},{""region"":""Central District"",""percentage"":0.295618},{""region"":""Northern District"",""percentage"":0.11707},{""region"":""Heifa"",""percentage"":0.153913},{""region"":""Tel Aviv"",""percentage"":0.29649},{""region"":""Jerusalem"",""percentage"":0.064966}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",he
982984326565411,115669731531701,"לוחמי כיפור 73 במסע להגנה על הדמוקרטיה - בתמונות",2024-06-19,2024-06-19,2024-06-21,"לוחמי כיפור 73 במסע להגנה על הדמוקרטיה - בתמונות","נתניהו, עקורי גבול הצפון באים אליך לקיסיריה!
חמישי | 20.6 | 19:00","אתה הראש , אתה אשם | תמכו בנו >>",beactive.co.il,"מוקד קיסריה: כל מוצ״ש עד שנתניהו יודח! אנו, לוחמי כיפור 73' ואנשי מחאת מוקד קיסריה מבקשים את תמיכתכם במאבק קבוע מול ביתו של נתניהו בקיסריה.","lower_bound: 10000, upper_bound: 14999","lower_bound: 100, upper_bound: 199",ILS,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.00181},{""age"":""65+"",""gender"":""male"",""percentage"":0.066954},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.001637},{""age"":""18-24"",""gender"":""male"",""percentage"":0.00922},{""age"":""25-34"",""gender"":""female"",""percentage"":0.046445},{""age"":""35-44"",""gender"":""female"",""percentage"":0.052736},{""age"":""45-54"",""gender"":""male"",""percentage"":0.141491},{""age"":""55-64"",""gender"":""male"",""percentage"":0.107195},{""age"":""25-34"",""gender"":""male"",""percentage"":0.231969},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.002154},{""age"":""35-44"",""gender"":""male"",""percentage"":0.202154},{""age"":""45-54"",""gender"":""female"",""percentage"":0.041361},{""age"":""55-64"",""gender"":""female"",""percentage"":0.038863},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.004912},{""age"":""65+"",""gender"":""female"",""percentage"":0.045756},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001379},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.003878},{""age"":""18-24"",""gender"":""unknown"",""percentage"":8.6e-5}","{""region"":""Unknown"",""percentage"":0.000346},{""region"":""Southern District"",""percentage"":0.054997},{""region"":""Central District"",""percentage"":0.183613},{""region"":""Northern District"",""percentage"":0.257232},{""region"":""Heifa"",""percentage"":0.1436},{""region"":""Tel Aviv"",""percentage"":0.245453},{""region"":""Jerusalem"",""percentage"":0.114758}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",he
862857022322976,115669731531701,"לוחמי כיפור 73 במסע להגנה על הדמוקרטיה - בתמונות",2024-06-19,2024-06-19,2024-06-21,"לוחמי כיפור 73 במסע להגנה על הדמוקרטיה - בתמונות","נתניהו, עקורי גבול הצפון באים אליך לקיסיריה!
חמישי | 20.6 | 19:00","אתה הראש , אתה אשם | תמכו בנו >>",beactive.co.il,"מוקד קיסריה: כל מוצ״ש עד שנתניהו יודח! אנו, לוחמי כיפור 73' ואנשי מחאת מוקד קיסריה מבקשים את תמיכתכם במאבק קבוע מול ביתו של נתניהו בקיסריה.","lower_bound: 15000, upper_bound: 19999","lower_bound: 100, upper_bound: 199",ILS,"{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001551},{""age"":""18-24"",""gender"":""female"",""percentage"":0.010273},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.006526},{""age"":""55-64"",""gender"":""female"",""percentage"":0.047167},{""age"":""65+"",""gender"":""male"",""percentage"":0.040059},{""age"":""45-54"",""gender"":""male"",""percentage"":0.125412},{""age"":""25-34"",""gender"":""male"",""percentage"":0.193319},{""age"":""35-44"",""gender"":""female"",""percentage"":0.081928},{""age"":""35-44"",""gender"":""male"",""percentage"":0.199716},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.002132},{""age"":""55-64"",""gender"":""male"",""percentage"":0.058732},{""age"":""25-34"",""gender"":""female"",""percentage"":0.087678},{""age"":""65+"",""gender"":""female"",""percentage"":0.049687},{""age"":""18-24"",""gender"":""male"",""percentage"":0.017833},{""age"":""45-54"",""gender"":""female"",""percentage"":0.071525},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001874},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.004458},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000129}","{""region"":""Southern District"",""percentage"":0.085558},{""region"":""Central District"",""percentage"":0.195626},{""region"":""Northern District"",""percentage"":0.203988},{""region"":""Heifa"",""percentage"":0.129109},{""region"":""Tel Aviv"",""percentage"":0.255323},{""region"":""Jerusalem"",""percentage"":0.130396}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",he
